s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0150083E+000, 1.9999998E+001, 2.0000001E+001, 2.0000004E+001, 2.0000007E+001, 1.9999998E+001, 2.0000010E+001, 2.0000010E+001, 1.9999998E+001, 2.0000005E+001, 1.9999995E+001, 2.0000000E+001, 1.9999995E+001, 2.0000007E+001, 1.9999991E+001, 2.0000004E+001, 2.0000003E+001, 2.0000006E+001, 1.9999989E+001, 2.0000004E+001, 1.9999997E+001, 1.9999998E+001, 2.0000006E+001, 2.0000004E+001, 1.9999995E+001, 2.0000006E+001, 1.9999995E+001, 2.0000002E+001, 1.9999999E+001, 2.0000004E+001, 1.9999990E+001, 2.0000003E+001, 1.9999985E+001, 2.0000000E+001, 1.9999999E+001, 2.0000007E+001, 1.9999989E+001, 1.9999999E+001, 1.9999993E+001
 2.0303103E+000, 1.9999987E+001, 2.0000011E+001, 2.0000010E+001, 2.0000004E+001, 1.9999999E+001, 2.0000003E+001, 2.0000007E+001, 1.9999987E+001, 2.0000004E+001, 1.9999998E+001, 2.0000006E+001, 1.9999995E+001, 2.0000008E+001, 2.0000001E+001, 2.0000007E+001, 2.0000006E+001, 2.0000000E+001, 1.9999995E+001, 2.0000009E+001, 1.9999993E+001, 1.9999993E+001, 2.0000002E+001, 1.9999990E+001, 1.9999991E+001, 2.0000005E+001, 2.0000005E+001, 2.0000007E+001, 1.9999989E+001, 1.9999993E+001, 2.0000016E+001, 2.0000007E+001, 1.9999994E+001, 1.9999997E+001, 2.0000008E+001, 2.0000008E+001, 2.0000001E+001, 1.9999999E+001, 2.0000001E+001
 3.0078661E+000, 2.0000007E+001, 1.9999990E+001, 2.0000015E+001, 2.0000010E+001, 2.0000003E+001, 1.9999991E+001, 2.0000002E+001, 2.0000007E+001, 1.9999990E+001, 2.0000005E+001, 1.9999985E+001, 2.0000006E+001, 1.9999996E+001, 2.0000015E+001, 2.0000002E+001, 2.0000003E+001, 1.9999998E+001, 2.0000004E+001, 1.9999981E+001, 2.0000004E+001, 2.0000006E+001, 1.9999989E+001, 1.9999994E+001, 1.9999994E+001, 2.0000005E+001, 2.0000010E+001, 1.9999994E+001, 2.0000004E+001, 1.9999993E+001, 2.0000001E+001, 2.0000001E+001, 2.0000015E+001, 1.9999992E+001, 1.9999995E+001, 2.0000001E+001, 2.0000014E+001, 1.9999985E+001, 1.9999999E+001
 4.0001151E+000, 1.9999996E+001, 2.0000003E+001, 2.0000005E+001, 2.0000019E+001, 2.0000012E+001, 2.0000010E+001, 2.0000003E+001, 2.0000009E+001, 2.0000008E+001, 1.9999990E+001, 2.0000004E+001, 1.9999994E+001, 2.0000005E+001, 2.0000000E+001, 2.0000017E+001, 2.0000006E+001, 2.0000013E+001, 2.0000001E+001, 1.9999999E+001, 1.9999989E+001, 2.0000002E+001, 2.0000010E+001, 1.9999997E+001, 2.0000000E+001, 1.9999990E+001, 2.0000000E+001, 2.0000014E+001, 2.0000004E+001, 2.0000001E+001, 1.9999989E+001, 2.0000014E+001, 2.0000008E+001, 2.0000009E+001, 1.9999989E+001, 2.0000006E+001, 2.0000002E+001, 2.0000013E+001, 1.9999990E+001
 5.0019323E+000, 2.0000033E+001, 2.0000036E+001, 2.0000034E+001, 2.0000038E+001, 2.0000052E+001, 2.0000050E+001, 2.0000027E+001, 2.0000023E+001, 2.0000036E+001, 2.0000029E+001, 2.0000016E+001, 2.0000015E+001, 2.0000009E+001, 2.0000014E+001, 2.0000024E+001, 2.0000032E+001, 2.0000015E+001, 2.0000023E+001, 2.0000015E+001, 2.0000002E+001, 2.0000001E+001, 2.0000010E+001, 2.0000004E+001, 2.0000000E+001, 1.9999998E+001, 1.9999994E+001, 2.0000017E+001, 2.0000012E+001, 2.0000005E+001, 2.0000004E+001, 1.9999991E+001, 2.0000008E+001, 2.0000017E+001, 2.0000015E+001, 1.9999990E+001, 2.0000003E+001, 2.0000011E+001, 2.0000016E+001
 6.0127240E+000, 2.0000125E+001, 2.0000080E+001, 2.0000071E+001, 2.0000066E+001, 2.0000073E+001, 2.0000076E+001, 2.0000072E+001, 2.0000054E+001, 2.0000044E+001, 2.0000054E+001, 2.0000033E+001, 2.0000030E+001, 2.0000020E+001, 2.0000024E+001, 2.0000021E+001, 2.0000031E+001, 2.0000040E+001, 2.0000027E+001, 2.0000020E+001, 2.0000025E+001, 2.0000007E+001, 1.9999998E+001, 2.0000017E+001, 2.0000011E+001, 2.0000008E+001, 2.0000000E+001, 1.9999992E+001, 2.0000016E+001, 2.0000020E+001, 2.0000007E+001, 1.9999996E+001, 1.9999996E+001, 2.0000010E+001, 2.0000021E+001, 2.0000010E+001, 1.9999998E+001, 1.9999998E+001, 2.0000019E+001
 7.0018452E+000, 2.0000149E+001, 2.0000150E+001, 2.0000091E+001, 2.0000081E+001, 2.0000076E+001, 2.0000086E+001, 2.0000094E+001, 2.0000090E+001, 2.0000058E+001, 2.0000051E+001, 2.0000071E+001, 2.0000046E+001, 2.0000040E+001, 2.0000025E+001, 2.0000028E+001, 2.0000026E+001, 2.0000049E+001, 2.0000045E+001, 2.0000037E+001, 2.0000025E+001, 2.0000022E+001, 2.0000012E+001, 2.0000007E+001, 2.0000019E+001, 2.0000007E+001, 2.0000011E+001, 2.0000001E+001, 1.9999994E+001, 2.0000023E+001, 2.0000026E+001, 2.0000016E+001, 1.9999998E+001, 1.9999998E+001, 2.0000011E+001, 2.0000032E+001, 2.0000016E+001, 2.0000000E+001, 2.0000006E+001
 8.0100772E+000, 2.0000159E+001, 2.0000167E+001, 2.0000153E+001, 2.0000111E+001, 2.0000095E+001, 2.0000088E+001, 2.0000095E+001, 2.0000106E+001, 2.0000097E+001, 2.0000074E+001, 2.0000065E+001, 2.0000078E+001, 2.0000048E+001, 2.0000047E+001, 2.0000032E+001, 2.0000033E+001, 2.0000031E+001, 2.0000056E+001, 2.0000045E+001, 2.0000043E+001, 2.0000036E+001, 2.0000029E+001, 2.0000005E+001, 2.0000006E+001, 2.0000021E+001, 2.0000016E+001, 2.0000013E+001, 2.0000002E+001, 2.0000000E+001, 2.0000025E+001, 2.0000021E+001, 2.0000020E+001, 1.9999994E+001, 1.9999997E+001, 2.0000021E+001, 2.0000037E+001, 2.0000007E+001, 2.0000011E+001
 9.0181509E+000, 2.0000189E+001, 2.0000177E+001, 2.0000191E+001, 2.0000178E+001, 2.0000117E+001, 2.0000104E+001, 2.0000099E+001, 2.0000105E+001, 2.0000117E+001, 2.0000112E+001, 2.0000070E+001, 2.0000071E+001, 2.0000080E+001, 2.0000061E+001, 2.0000043E+001, 2.0000038E+001, 2.0000036E+001, 2.0000034E+001, 2.0000059E+001, 2.0000056E+001, 2.0000041E+001, 2.0000039E+001, 2.0000031E+001, 2.0000009E+001, 2.0000016E+001, 2.0000018E+001, 2.0000014E+001, 2.0000017E+001, 1.9999995E+001, 1.9999995E+001, 2.0000033E+001, 2.0000027E+001, 2.0000013E+001, 1.9999993E+001, 2.0000005E+001, 2.0000023E+001, 2.0000023E+001, 2.0000027E+001
 1.0010595E+001, 2.0000233E+001, 2.0000223E+001, 2.0000204E+001, 2.0000216E+001, 2.0000190E+001, 2.0000146E+001, 2.0000119E+001, 2.0000115E+001, 2.0000122E+001, 2.0000133E+001, 2.0000125E+001, 2.0000087E+001, 2.0000093E+001, 2.0000091E+001, 2.0000071E+001, 2.0000052E+001, 2.0000046E+001, 2.0000042E+001, 2.0000053E+001, 2.0000062E+001, 2.0000061E+001, 2.0000051E+001, 2.0000044E+001, 2.0000037E+001, 2.0000004E+001, 2.0000015E+001, 2.0000022E+001, 2.0000017E+001, 2.0000016E+001, 2.0000000E+001, 2.0000008E+001, 2.0000032E+001, 2.0000029E+001, 2.0000017E+001, 2.0000004E+001, 2.0000011E+001, 2.0000026E+001, 2.0000041E+001
 1.1013417E+001, 2.0000288E+001, 2.0000273E+001, 2.0000246E+001, 2.0000237E+001, 2.0000250E+001, 2.0000226E+001, 2.0000161E+001, 2.0000139E+001, 2.0000135E+001, 2.0000141E+001, 2.0000152E+001, 2.0000146E+001, 2.0000094E+001, 2.0000105E+001, 2.0000100E+001, 2.0000086E+001, 2.0000058E+001, 2.0000055E+001, 2.0000043E+001, 2.0000059E+001, 2.0000075E+001, 2.0000071E+001, 2.0000052E+001, 2.0000051E+001, 2.0000036E+001, 2.0000011E+001, 2.0000021E+001, 2.0000025E+001, 2.0000026E+001, 2.0000023E+001, 1.9999994E+001, 2.0000009E+001, 2.0000032E+001, 2.0000032E+001, 2.0000019E+001, 2.0000014E+001, 2.0000010E+001, 2.0000043E+001
 1.2002839E+001, 2.0000321E+001, 2.0000314E+001, 2.0000298E+001, 2.0000272E+001, 2.0000261E+001, 2.0000270E+001, 2.0000233E+001, 2.0000187E+001, 2.0000150E+001, 2.0000147E+001, 2.0000154E+001, 2.0000165E+001, 2.0000149E+001, 2.0000109E+001, 2.0000115E+001, 2.0000113E+001, 2.0000089E+001, 2.0000066E+001, 2.0000062E+001, 2.0000050E+001, 2.0000068E+001, 2.0000083E+001, 2.0000074E+001, 2.0000063E+001, 2.0000056E+001, 2.0000043E+001, 2.0000014E+001, 2.0000024E+001, 2.0000024E+001, 2.0000028E+001, 2.0000024E+001, 1.9999999E+001, 2.0000014E+001, 2.0000032E+001, 2.0000040E+001, 2.0000027E+001, 2.0000007E+001, 2.0000032E+001
 1.3008043E+001, 2.0000392E+001, 2.0000349E+001, 2.0000328E+001, 2.0000321E+001, 2.0000279E+001, 2.0000278E+001, 2.0000284E+001, 2.0000257E+001, 2.0000187E+001, 2.0000162E+001, 2.0000158E+001, 2.0000163E+001, 2.0000180E+001, 2.0000165E+001, 2.0000119E+001, 2.0000123E+001, 2.0000119E+001, 2.0000103E+001, 2.0000073E+001, 2.0000065E+001, 2.0000058E+001, 2.0000072E+001, 2.0000089E+001, 2.0000082E+001, 2.0000062E+001, 2.0000062E+001, 2.0000037E+001, 2.0000015E+001, 2.0000025E+001, 2.0000026E+001, 2.0000035E+001, 2.0000029E+001, 1.9999996E+001, 2.0000012E+001, 2.0000046E+001, 2.0000046E+001, 2.0000019E+001, 2.0000033E+001
 1.4013110E+001, 2.0000473E+001, 2.0000424E+001, 2.0000362E+001, 2.0000349E+001, 2.0000335E+001, 2.0000299E+001, 2.0000299E+001, 2.0000302E+001, 2.0000260E+001, 2.0000210E+001, 2.0000169E+001, 2.0000168E+001, 2.0000175E+001, 2.0000191E+001, 2.0000159E+001, 2.0000131E+001, 2.0000132E+001, 2.0000130E+001, 2.0000095E+001, 2.0000083E+001, 2.0000066E+001, 2.0000061E+001, 2.0000083E+001, 2.0000095E+001, 2.0000084E+001, 2.0000067E+001, 2.0000065E+001, 2.0000044E+001, 2.0000021E+001, 2.0000025E+001, 2.0000032E+001, 2.0000040E+001, 2.0000012E+001, 2.0000001E+001, 2.0000034E+001, 2.0000051E+001, 2.0000032E+001, 2.0000049E+001
 1.5010678E+001, 2.0000509E+001, 2.0000502E+001, 2.0000432E+001, 2.0000386E+001, 2.0000370E+001, 2.0000360E+001, 2.0000313E+001, 2.0000315E+001, 2.0000317E+001, 2.0000286E+001, 2.0000210E+001, 2.0000181E+001, 2.0000180E+001, 2.0000183E+001, 2.0000203E+001, 2.0000177E+001, 2.0000138E+001, 2.0000140E+001, 2.0000139E+001, 2.0000108E+001, 2.0000087E+001, 2.0000073E+001, 2.0000068E+001, 2.0000087E+001, 2.0000101E+001, 2.0000092E+001, 2.0000075E+001, 2.0000072E+001, 2.0000030E+001, 2.0000024E+001, 2.0000032E+001, 2.0000036E+001, 2.0000034E+001, 2.0000018E+001, 2.0000024E+001, 2.0000039E+001, 2.0000042E+001, 2.0000065E+001
 1.6008434E+001, 2.0000547E+001, 2.0000540E+001, 2.0000516E+001, 2.0000466E+001, 2.0000400E+001, 2.0000394E+001, 2.0000371E+001, 2.0000335E+001, 2.0000336E+001, 2.0000337E+001, 2.0000287E+001, 2.0000234E+001, 2.0000194E+001, 2.0000192E+001, 2.0000203E+001, 2.0000215E+001, 2.0000176E+001, 2.0000152E+001, 2.0000150E+001, 2.0000150E+001, 2.0000113E+001, 2.0000098E+001, 2.0000075E+001, 2.0000073E+001, 2.0000100E+001, 2.0000109E+001, 2.0000092E+001, 2.0000081E+001, 2.0000071E+001, 2.0000037E+001, 2.0000033E+001, 2.0000035E+001, 2.0000034E+001, 2.0000034E+001, 2.0000032E+001, 2.0000033E+001, 2.0000035E+001, 2.0000072E+001
 1.7013192E+001, 2.0000676E+001, 2.0000589E+001, 2.0000573E+001, 2.0000552E+001, 2.0000475E+001, 2.0000428E+001, 2.0000418E+001, 2.0000399E+001, 2.0000354E+001, 2.0000356E+001, 2.0000352E+001, 2.0000316E+001, 2.0000233E+001, 2.0000210E+001, 2.0000203E+001, 2.0000213E+001, 2.0000225E+001, 2.0000195E+001, 2.0000158E+001, 2.0000162E+001, 2.0000153E+001, 2.0000128E+001, 2.0000100E+001, 2.0000083E+001, 2.0000084E+001, 2.0000103E+001, 2.0000116E+001, 2.0000103E+001, 2.0000086E+001, 2.0000077E+001, 2.0000043E+001, 2.0000039E+001, 2.0000029E+001, 2.0000034E+001, 2.0000050E+001, 2.0000043E+001, 2.0000027E+001, 2.0000069E+001
 1.8003401E+001, 2.0000820E+001, 2.0000731E+001, 2.0000616E+001, 2.0000609E+001, 2.0000566E+001, 2.0000511E+001, 2.0000449E+001, 2.0000447E+001, 2.0000412E+001, 2.0000379E+001, 2.0000379E+001, 2.0000376E+001, 2.0000318E+001, 2.0000259E+001, 2.0000225E+001, 2.0000216E+001, 2.0000234E+001, 2.0000240E+001, 2.0000200E+001, 2.0000169E+001, 2.0000175E+001, 2.0000166E+001, 2.0000133E+001, 2.0000113E+001, 2.0000085E+001, 2.0000089E+001, 2.0000122E+001, 2.0000125E+001, 2.0000098E+001, 2.0000093E+001, 2.0000078E+001, 2.0000051E+001, 2.0000033E+001, 2.0000032E+001, 2.0000058E+001, 2.0000059E+001, 2.0000034E+001, 2.0000066E+001
 1.9000001E+001, 2.0000913E+001, 2.0000873E+001, 2.0000731E+001, 2.0000662E+001, 2.0000642E+001, 2.0000607E+001, 2.0000520E+001, 2.0000480E+001, 2.0000473E+001, 2.0000445E+001, 2.0000401E+001, 2.0000402E+001, 2.0000393E+001, 2.0000350E+001, 2.0000267E+001, 2.0000242E+001, 2.0000233E+001, 2.0000247E+001, 2.0000250E+001, 2.0000221E+001, 2.0000184E+001, 2.0000188E+001, 2.0000172E+001, 2.0000149E+001, 2.0000115E+001, 2.0000095E+001, 2.0000104E+001, 2.0000130E+001, 2.0000128E+001, 2.0000108E+001, 2.0000104E+001, 2.0000088E+001, 2.0000045E+001, 2.0000038E+001, 2.0000057E+001, 2.0000068E+001, 2.0000048E+001, 2.0000076E+001
 2.0016842E+001, 2.0000989E+001, 2.0000965E+001, 2.0000896E+001, 2.0000794E+001, 2.0000699E+001, 2.0000684E+001, 2.0000624E+001, 2.0000562E+001, 2.0000512E+001, 2.0000506E+001, 2.0000462E+001, 2.0000431E+001, 2.0000428E+001, 2.0000423E+001, 2.0000353E+001, 2.0000299E+001, 2.0000255E+001, 2.0000250E+001, 2.0000270E+001, 2.0000270E+001, 2.0000220E+001, 2.0000201E+001, 2.0000202E+001, 2.0000191E+001, 2.0000156E+001, 2.0000130E+001, 2.0000106E+001, 2.0000113E+001, 2.0000138E+001, 2.0000136E+001, 2.0000123E+001, 2.0000116E+001, 2.0000070E+001, 2.0000054E+001, 2.0000064E+001, 2.0000068E+001, 2.0000059E+001, 2.0000094E+001
 2.1010934E+001, 2.0001099E+001, 2.0001052E+001, 2.0001013E+001, 2.0000960E+001, 2.0000813E+001, 2.0000752E+001, 2.0000721E+001, 2.0000675E+001, 2.0000581E+001, 2.0000550E+001, 2.0000537E+001, 2.0000503E+001, 2.0000460E+001, 2.0000458E+001, 2.0000445E+001, 2.0000391E+001, 2.0000311E+001, 2.0000281E+001, 2.0000275E+001, 2.0000287E+001, 2.0000287E+001, 2.0000247E+001, 2.0000221E+001, 2.0000220E+001, 2.0000198E+001, 2.0000176E+001, 2.0000137E+001, 2.0000119E+001, 2.0000127E+001, 2.0000147E+001, 2.0000148E+001, 2.0000137E+001, 2.0000106E+001, 2.0000082E+001, 2.0000081E+001, 2.0000078E+001, 2.0000065E+001, 2.0000106E+001
