s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0108204E+000, 1.9999998E+001, 2.0000001E+001, 2.0000005E+001, 2.0000004E+001, 1.9999998E+001, 2.0000001E+001, 2.0000008E+001, 1.9999993E+001, 1.9999994E+001, 1.9999996E+001, 2.0000001E+001, 1.9999998E+001, 1.9999993E+001, 1.9999999E+001, 2.0000013E+001, 1.9999998E+001, 2.0000000E+001, 2.0000006E+001, 2.0000003E+001, 1.9999995E+001, 2.0000007E+001, 1.9999997E+001, 2.0000009E+001, 2.0000000E+001, 1.9999997E+001, 1.9999996E+001, 1.9999991E+001, 2.0000003E+001, 2.0000005E+001, 2.0000003E+001, 2.0000007E+001, 1.9999991E+001, 2.0000011E+001, 1.9999999E+001, 1.9999996E+001, 2.0000000E+001, 2.0000011E+001, 2.0000003E+001
 2.0206831E+000, 2.0006255E+001, 2.0005604E+001, 2.0004753E+001, 2.0004254E+001, 2.0003606E+001, 2.0003216E+001, 2.0002708E+001, 2.0002427E+001, 2.0002047E+001, 2.0001821E+001, 2.0001534E+001, 2.0001369E+001, 2.0001147E+001, 2.0001020E+001, 2.0000858E+001, 2.0000766E+001, 2.0000642E+001, 2.0000572E+001, 2.0000482E+001, 2.0000427E+001, 2.0000352E+001, 2.0000320E+001, 2.0000266E+001, 2.0000242E+001, 2.0000206E+001, 2.0000180E+001, 2.0000154E+001, 2.0000132E+001, 2.0000117E+001, 2.0000104E+001, 2.0000090E+001, 2.0000090E+001, 2.0000068E+001, 2.0000074E+001, 2.0000072E+001, 2.0000059E+001, 2.0000052E+001, 2.0000050E+001
 3.0126066E+000, 2.0057849E+001, 2.0052714E+001, 2.0045854E+001, 2.0041783E+001, 2.0036344E+001, 2.0033112E+001, 2.0028793E+001, 2.0026234E+001, 2.0022807E+001, 2.0020781E+001, 2.0018068E+001, 2.0016453E+001, 2.0014294E+001, 2.0013017E+001, 2.0011305E+001, 2.0010288E+001, 2.0008934E+001, 2.0008132E+001, 2.0007059E+001, 2.0006425E+001, 2.0005575E+001, 2.0005066E+001, 2.0004393E+001, 2.0003997E+001, 2.0003466E+001, 2.0003157E+001, 2.0002736E+001, 2.0002488E+001, 2.0002160E+001, 2.0001969E+001, 2.0001715E+001, 2.0001565E+001, 2.0001377E+001, 2.0001260E+001, 2.0001105E+001, 2.0001026E+001, 2.0000908E+001, 2.0000827E+001
 4.0035887E+000, 2.0178434E+001, 2.0163463E+001, 2.0143527E+001, 2.0131711E+001, 2.0115918E+001, 2.0106530E+001, 2.0093979E+001, 2.0086513E+001, 2.0076513E+001, 2.0070551E+001, 2.0062518E+001, 2.0057726E+001, 2.0051285E+001, 2.0047421E+001, 2.0042198E+001, 2.0039066E+001, 2.0034824E+001, 2.0032270E+001, 2.0028810E+001, 2.0026722E+001, 2.0023882E+001, 2.0022168E+001, 2.0019830E+001, 2.0018410E+001, 2.0016476E+001, 2.0015308E+001, 2.0013713E+001, 2.0012749E+001, 2.0011425E+001, 2.0010621E+001, 2.0009527E+001, 2.0008866E+001, 2.0007968E+001, 2.0007424E+001, 2.0006694E+001, 2.0006251E+001, 2.0005654E+001, 2.0005325E+001
 5.0116425E+000, 2.0317355E+001, 2.0290831E+001, 2.0255515E+001, 2.0234600E+001, 2.0206677E+001, 2.0190097E+001, 2.0167881E+001, 2.0154658E+001, 2.0136908E+001, 2.0126329E+001, 2.0112126E+001, 2.0103626E+001, 2.0092153E+001, 2.0085296E+001, 2.0076054E+001, 2.0070496E+001, 2.0062972E+001, 2.0058448E+001, 2.0052307E+001, 2.0048601E+001, 2.0043568E+001, 2.0040526E+001, 2.0036382E+001, 2.0033874E+001, 2.0030450E+001, 2.0028366E+001, 2.0025523E+001, 2.0023799E+001, 2.0021443E+001, 2.0020012E+001, 2.0018049E+001, 2.0016853E+001, 2.0015220E+001, 2.0014233E+001, 2.0012888E+001, 2.0012074E+001, 2.0010975E+001, 2.0010371E+001
 6.0001730E+000, 2.0463844E+001, 2.0424412E+001, 2.0372116E+001, 2.0341268E+001, 2.0300145E+001, 2.0275777E+001, 2.0243221E+001, 2.0223884E+001, 2.0197972E+001, 2.0182531E+001, 2.0161792E+001, 2.0149438E+001, 2.0132832E+001, 2.0122879E+001, 2.0109454E+001, 2.0101430E+001, 2.0090601E+001, 2.0084090E+001, 2.0075273E+001, 2.0069965E+001, 2.0062762E+001, 2.0058416E+001, 2.0052507E+001, 2.0048932E+001, 2.0044063E+001, 2.0041119E+001, 2.0037094E+001, 2.0034644E+001, 2.0031297E+001, 2.0029265E+001, 2.0026491E+001, 2.0024803E+001, 2.0022484E+001, 2.0021073E+001, 2.0019147E+001, 2.0017983E+001, 2.0016398E+001, 2.0015553E+001
 7.0113386E+000, 2.0640462E+001, 2.0585087E+001, 2.0511924E+001, 2.0468776E+001, 2.0411347E+001, 2.0377400E+001, 2.0332113E+001, 2.0305254E+001, 2.0269360E+001, 2.0248031E+001, 2.0219439E+001, 2.0202388E+001, 2.0179491E+001, 2.0165852E+001, 2.0147500E+001, 2.0136500E+001, 2.0121675E+001, 2.0112807E+001, 2.0100828E+001, 2.0093628E+001, 2.0083877E+001, 2.0078005E+001, 2.0070034E+001, 2.0065226E+001, 2.0058679E+001, 2.0054718E+001, 2.0049325E+001, 2.0046065E+001, 2.0041603E+001, 2.0038889E+001, 2.0035179E+001, 2.0032929E+001, 2.0029853E+001, 2.0027984E+001, 2.0025427E+001, 2.0023868E+001, 2.0021740E+001, 2.0020611E+001
 8.0045042E+000, 2.0846856E+001, 2.0777057E+001, 2.0680589E+001, 2.0622974E+001, 2.0546351E+001, 2.0500873E+001, 2.0440016E+001, 2.0403917E+001, 2.0355702E+001, 2.0327081E+001, 2.0288793E+001, 2.0266029E+001, 2.0235488E+001, 2.0217255E+001, 2.0192776E+001, 2.0178186E+001, 2.0158525E+001, 2.0146737E+001, 2.0130853E+001, 2.0121340E+001, 2.0108477E+001, 2.0100744E+001, 2.0090266E+001, 2.0083952E+001, 2.0075379E+001, 2.0070204E+001, 2.0063154E+001, 2.0058883E+001, 2.0053073E+001, 2.0049560E+001, 2.0044755E+001, 2.0041832E+001, 2.0037832E+001, 2.0035411E+001, 2.0032116E+001, 2.0030113E+001, 2.0027370E+001, 2.0025921E+001
 9.0126577E+000, 2.1028312E+001, 2.0957891E+001, 2.0855641E+001, 2.0789609E+001, 2.0696098E+001, 2.0639196E+001, 2.0562469E+001, 2.0516454E+001, 2.0454333E+001, 2.0417292E+001, 2.0367717E+001, 2.0338245E+001, 2.0298772E+001, 2.0275287E+001, 2.0243746E+001, 2.0224911E+001, 2.0199626E+001, 2.0184544E+001, 2.0164205E+001, 2.0152015E+001, 2.0135594E+001, 2.0125752E+001, 2.0112438E+001, 2.0104433E+001, 2.0093587E+001, 2.0087051E+001, 2.0078178E+001, 2.0072820E+001, 2.0065511E+001, 2.0061083E+001, 2.0055067E+001, 2.0051427E+001, 2.0046444E+001, 2.0043416E+001, 2.0039288E+001, 2.0036789E+001, 2.0033384E+001, 2.0031594E+001
 1.0000803E+001, 2.1183312E+001, 2.1115496E+001, 2.1015507E+001, 2.0950864E+001, 2.0855891E+001, 2.0794188E+001, 2.0706190E+001, 2.0651661E+001, 2.0576706E+001, 2.0530932E+001, 2.0468285E+001, 2.0430592E+001, 2.0379912E+001, 2.0349686E+001, 2.0309106E+001, 2.0284914E+001, 2.0252374E+001, 2.0232928E+001, 2.0206808E+001, 2.0191208E+001, 2.0170153E+001, 2.0157537E+001, 2.0140536E+001, 2.0130339E+001, 2.0116537E+001, 2.0108236E+001, 2.0096989E+001, 2.0090212E+001, 2.0081008E+001, 2.0075448E+001, 2.0067862E+001, 2.0063266E+001, 2.0057015E+001, 2.0053238E+001, 2.0048086E+001, 2.0044953E+001, 2.0040682E+001, 2.0038443E+001
 1.1003214E+001, 2.1265490E+001, 2.1216793E+001, 2.1133218E+001, 2.1073577E+001, 2.0984131E+001, 2.0925083E+001, 2.0838415E+001, 2.0782543E+001, 2.0703086E+001, 2.0653420E+001, 2.0583337E+001, 2.0539395E+001, 2.0477933E+001, 2.0440309E+001, 2.0389222E+001, 2.0358554E+001, 2.0317202E+001, 2.0292462E+001, 2.0259115E+001, 2.0239175E+001, 2.0212373E+001, 2.0196347E+001, 2.0174716E+001, 2.0161765E+001, 2.0144305E+001, 2.0133831E+001, 2.0119655E+001, 2.0111130E+001, 2.0099576E+001, 2.0092620E+001, 2.0083179E+001, 2.0077471E+001, 2.0069671E+001, 2.0064954E+001, 2.0058556E+001, 2.0054689E+001, 2.0049416E+001, 2.0046636E+001
 1.2007795E+001, 2.1278106E+001, 2.1243870E+001, 2.1185155E+001, 2.1140306E+001, 2.1065792E+001, 2.1012154E+001, 2.0931470E+001, 2.0878907E+001, 2.0802613E+001, 2.0754222E+001, 2.0685740E+001, 2.0642468E+001, 2.0580271E+001, 2.0540254E+001, 2.0482706E+001, 2.0446520E+001, 2.0396277E+001, 2.0365671E+001, 2.0324002E+001, 2.0298883E+001, 2.0264887E+001, 2.0244520E+001, 2.0217104E+001, 2.0200685E+001, 2.0178526E+001, 2.0165263E+001, 2.0147387E+001, 2.0136661E+001, 2.0122144E+001, 2.0113417E+001, 2.0101604E+001, 2.0094494E+001, 2.0084840E+001, 2.0079005E+001, 2.0071056E+001, 2.0066251E+001, 2.0059736E+001, 2.0056317E+001
 1.3008133E+001, 2.1267203E+001, 2.1236225E+001, 2.1190937E+001, 2.1159388E+001, 2.1104850E+001, 2.1061871E+001, 2.0990716E+001, 2.0940730E+001, 2.0866194E+001, 2.0819925E+001, 2.0754994E+001, 2.0714461E+001, 2.0656570E+001, 2.0619554E+001, 2.0565948E+001, 2.0531088E+001, 2.0480088E+001, 2.0447096E+001, 2.0399888E+001, 2.0370305E+001, 2.0329152E+001, 2.0303987E+001, 2.0269647E+001, 2.0248977E+001, 2.0221051E+001, 2.0204291E+001, 2.0181675E+001, 2.0168138E+001, 2.0149883E+001, 2.0138935E+001, 2.0124135E+001, 2.0115237E+001, 2.0103191E+001, 2.0095956E+001, 2.0086162E+001, 2.0080238E+001, 2.0072180E+001, 2.0067952E+001
 1.4005996E+001, 2.1231959E+001, 2.1199313E+001, 2.1176759E+001, 2.1156814E+001, 2.1104886E+001, 2.1077139E+001, 2.1026058E+001, 2.0984290E+001, 2.0912923E+001, 2.0866313E+001, 2.0799436E+001, 2.0758413E+001, 2.0701240E+001, 2.0666476E+001, 2.0618010E+001, 2.0586571E+001, 2.0540693E+001, 2.0510872E+001, 2.0467055E+001, 2.0438554E+001, 2.0396806E+001, 2.0369766E+001, 2.0330891E+001, 2.0306411E+001, 2.0272446E+001, 2.0251781E+001, 2.0223653E+001, 2.0206698E+001, 2.0183768E+001, 2.0170042E+001, 2.0151542E+001, 2.0140444E+001, 2.0125423E+001, 2.0116415E+001, 2.0104271E+001, 2.0096981E+001, 2.0087113E+001, 2.0081944E+001
 1.5000311E+001, 2.1277398E+001, 2.1497224E+001, 2.1900557E+001, 2.1799467E+001, 2.1254762E+001, 2.1093453E+001, 2.1037192E+001, 2.1008779E+001, 2.0956751E+001, 2.0915930E+001, 2.0849263E+001, 2.0805994E+001, 2.0743556E+001, 2.0705320E+001, 2.0653879E+001, 2.0622611E+001, 2.0579746E+001, 2.0552885E+001, 2.0513592E+001, 2.0487760E+001, 2.0450037E+001, 2.0425403E+001, 2.0389335E+001, 2.0365687E+001, 2.0330697E+001, 2.0307994E+001, 2.0275509E+001, 2.0255215E+001, 2.0227137E+001, 2.0210047E+001, 2.0186836E+001, 2.0172876E+001, 2.0153996E+001, 2.0142688E+001, 2.0127453E+001, 2.0118311E+001, 2.0106002E+001, 2.0099622E+001
 1.6013912E+001, 2.3502069E+001, 2.5299776E+001, 2.6482972E+001, 2.5248611E+001, 2.2319372E+001, 2.1546681E+001, 2.1106368E+001, 2.1021992E+001, 2.0978324E+001, 2.0948434E+001, 2.0896498E+001, 2.0857444E+001, 2.0794606E+001, 2.0754514E+001, 2.0698042E+001, 2.0661825E+001, 2.0613091E+001, 2.0584293E+001, 2.0545239E+001, 2.0521112E+001, 2.0486757E+001, 2.0464241E+001, 2.0431637E+001, 2.0409903E+001, 2.0378103E+001, 2.0357378E+001, 2.0326875E+001, 2.0306855E+001, 2.0277433E+001, 2.0258453E+001, 2.0231360E+001, 2.0214439E+001, 2.0191056E+001, 2.0176878E+001, 2.0157696E+001, 2.0146155E+001, 2.0130592E+001, 2.0122547E+001
 1.7003644E+001, 2.7766125E+001, 2.8520641E+001, 2.6722561E+001, 2.5314338E+001, 2.3819209E+001, 2.3003503E+001, 2.1956076E+001, 2.1437142E+001, 2.1040812E+001, 2.0970391E+001, 2.0927621E+001, 2.0895053E+001, 2.0838594E+001, 2.0800931E+001, 2.0744728E+001, 2.0707299E+001, 2.0654993E+001, 2.0622526E+001, 2.0577575E+001, 2.0550570E+001, 2.0514398E+001, 2.0492117E+001, 2.0462146E+001, 2.0441645E+001, 2.0411276E+001, 2.0391699E+001, 2.0363698E+001, 2.0345361E+001, 2.0318513E+001, 2.0301035E+001, 2.0275419E+001, 2.0258644E+001, 2.0233964E+001, 2.0218085E+001, 2.0195523E+001, 2.0181481E+001, 2.0162205E+001, 2.0152175E+001
 1.8011656E+001, 2.4920337E+001, 2.5250870E+001, 2.6031126E+001, 2.6636405E+001, 2.7035268E+001, 2.6461292E+001, 2.4475080E+001, 2.2839765E+001, 2.1374824E+001, 2.1034017E+001, 2.0946131E+001, 2.0918861E+001, 2.0876878E+001, 2.0845841E+001, 2.0789353E+001, 2.0751511E+001, 2.0697942E+001, 2.0664604E+001, 2.0617254E+001, 2.0587844E+001, 2.0547309E+001, 2.0522207E+001, 2.0490420E+001, 2.0469195E+001, 2.0438959E+001, 2.0419958E+001, 2.0393338E+001, 2.0375567E+001, 2.0348756E+001, 2.0332066E+001, 2.0308565E+001, 2.0293111E+001, 2.0270513E+001, 2.0255985E+001, 2.0234834E+001, 2.0220949E+001, 2.0200816E+001, 2.0189896E+001
 1.9011413E+001, 2.3790522E+001, 2.4605445E+001, 2.6463754E+001, 2.7516706E+001, 2.8076457E+001, 2.6645793E+001, 2.3490264E+001, 2.2048548E+001, 2.1214166E+001, 2.1074852E+001, 2.1028649E+001, 2.0960256E+001, 2.0893508E+001, 2.0867927E+001, 2.0824381E+001, 2.0794057E+001, 2.0746143E+001, 2.0711044E+001, 2.0659447E+001, 2.0628476E+001, 2.0585280E+001, 2.0558154E+001, 2.0523387E+001, 2.0499797E+001, 2.0466409E+001, 2.0447025E+001, 2.0421109E+001, 2.0404473E+001, 2.0377079E+001, 2.0360214E+001, 2.0338215E+001, 2.0322863E+001, 2.0299775E+001, 2.0286732E+001, 2.0269932E+001, 2.0258823E+001, 2.0242871E+001, 2.0235091E+001
 2.0002941E+001, 2.4173988E+001, 2.3650155E+001, 2.5167856E+001, 2.4930892E+001, 2.3275009E+001, 2.2385937E+001, 2.1656976E+001, 2.1472913E+001, 2.1269010E+001, 2.1131659E+001, 2.0970927E+001, 2.0919433E+001, 2.0886884E+001, 2.0867468E+001, 2.0837148E+001, 2.0813066E+001, 2.0776945E+001, 2.0753312E+001, 2.0709760E+001, 2.0677110E+001, 2.0627938E+001, 2.0597887E+001, 2.0559714E+001, 2.0534573E+001, 2.0499101E+001, 2.0478590E+001, 2.0450410E+001, 2.0433673E+001, 2.0407277E+001, 2.0392363E+001, 2.0374145E+001, 2.0360138E+001, 2.0336201E+001, 2.0324363E+001, 2.0313581E+001, 2.0307024E+001, 2.0300111E+001, 2.0313731E+001
 2.1008524E+001, 2.4764457E+001, 2.3895104E+001, 2.4905958E+001, 2.3605844E+001, 2.1490341E+001, 2.1461283E+001, 2.1329746E+001, 2.1072743E+001, 2.0929007E+001, 2.0915288E+001, 2.0942627E+001, 2.0993968E+001, 2.1099196E+001, 2.1199534E+001, 2.1317455E+001, 2.1292611E+001, 2.1100432E+001, 2.0944967E+001, 2.0781801E+001, 2.0726895E+001, 2.0679910E+001, 2.0649726E+001, 2.0604625E+001, 2.0573701E+001, 2.0532647E+001, 2.0510453E+001, 2.0481384E+001, 2.0463979E+001, 2.0435259E+001, 2.0420941E+001, 2.0405743E+001, 2.0395566E+001, 2.0376255E+001, 2.0366813E+001, 2.0363061E+001, 2.0358837E+001, 2.0368695E+001, 2.1186085E+001
