s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0425602E+000, 2.0000005E+001, 1.9999989E+001, 2.0000002E+001, 2.0000014E+001, 1.9999995E+001, 2.0000011E+001, 2.0000011E+001, 2.0000012E+001, 2.0000007E+001, 1.9999999E+001, 1.9999990E+001, 1.9999998E+001, 2.0000009E+001, 1.9999991E+001, 2.0000006E+001, 2.0000005E+001, 2.0000004E+001, 1.9999992E+001, 1.9999996E+001, 2.0000006E+001, 2.0000009E+001, 2.0000003E+001, 2.0000007E+001, 1.9999997E+001, 2.0000016E+001, 1.9999993E+001, 1.9999993E+001, 2.0000010E+001, 2.0000014E+001, 1.9999976E+001, 1.9999994E+001, 1.9999985E+001, 2.0000004E+001, 1.9999993E+001, 2.0000002E+001, 1.9999992E+001, 1.9999992E+001, 1.9999989E+001
 2.0061674E+000, 2.0000009E+001, 1.9999983E+001, 2.0000007E+001, 2.0000030E+001, 1.9999991E+001, 2.0000027E+001, 2.0000029E+001, 2.0000021E+001, 2.0000017E+001, 1.9999996E+001, 1.9999982E+001, 1.9999994E+001, 2.0000020E+001, 1.9999979E+001, 2.0000013E+001, 2.0000011E+001, 2.0000012E+001, 1.9999979E+001, 1.9999995E+001, 2.0000009E+001, 2.0000015E+001, 2.0000010E+001, 2.0000017E+001, 1.9999992E+001, 2.0000031E+001, 1.9999984E+001, 1.9999990E+001, 2.0000017E+001, 2.0000028E+001, 1.9999952E+001, 1.9999991E+001, 1.9999965E+001, 2.0000005E+001, 1.9999988E+001, 2.0000009E+001, 1.9999979E+001, 1.9999985E+001, 1.9999977E+001
 3.0005505E+000, 2.0000013E+001, 1.9999985E+001, 2.0000016E+001, 2.0000045E+001, 1.9999992E+001, 2.0000046E+001, 2.0000048E+001, 2.0000026E+001, 2.0000027E+001, 1.9999991E+001, 1.9999981E+001, 1.9999990E+001, 2.0000031E+001, 1.9999967E+001, 2.0000020E+001, 2.0000017E+001, 2.0000023E+001, 1.9999964E+001, 2.0000000E+001, 2.0000009E+001, 2.0000016E+001, 2.0000018E+001, 2.0000026E+001, 1.9999987E+001, 2.0000042E+001, 1.9999975E+001, 1.9999992E+001, 2.0000021E+001, 2.0000038E+001, 1.9999935E+001, 1.9999995E+001, 1.9999945E+001, 2.0000005E+001, 1.9999985E+001, 2.0000021E+001, 1.9999964E+001, 1.9999982E+001, 1.9999966E+001
 4.0012991E+000, 2.0000030E+001, 2.0000009E+001, 2.0000041E+001, 2.0000070E+001, 2.0000005E+001, 2.0000075E+001, 2.0000078E+001, 2.0000031E+001, 2.0000044E+001, 1.9999991E+001, 1.9999993E+001, 1.9999990E+001, 2.0000047E+001, 1.9999958E+001, 2.0000031E+001, 2.0000026E+001, 2.0000038E+001, 1.9999952E+001, 2.0000013E+001, 2.0000006E+001, 2.0000013E+001, 2.0000030E+001, 2.0000036E+001, 1.9999981E+001, 2.0000049E+001, 1.9999968E+001, 2.0000002E+001, 2.0000019E+001, 2.0000042E+001, 1.9999928E+001, 2.0000007E+001, 1.9999924E+001, 2.0000003E+001, 1.9999987E+001, 2.0000035E+001, 1.9999948E+001, 1.9999985E+001, 1.9999957E+001
 5.0014507E+000, 2.0000053E+001, 2.0000050E+001, 2.0000075E+001, 2.0000100E+001, 2.0000027E+001, 2.0000110E+001, 2.0000111E+001, 2.0000035E+001, 2.0000067E+001, 1.9999994E+001, 2.0000015E+001, 1.9999992E+001, 2.0000067E+001, 1.9999953E+001, 2.0000046E+001, 2.0000037E+001, 2.0000057E+001, 1.9999942E+001, 2.0000033E+001, 2.0000000E+001, 2.0000005E+001, 2.0000045E+001, 2.0000045E+001, 1.9999975E+001, 2.0000054E+001, 1.9999964E+001, 2.0000019E+001, 2.0000012E+001, 2.0000041E+001, 1.9999930E+001, 2.0000025E+001, 1.9999904E+001, 2.0000002E+001, 1.9999993E+001, 2.0000051E+001, 1.9999934E+001, 1.9999991E+001, 1.9999950E+001
 6.0164241E+000, 2.0000070E+001, 2.0000091E+001, 2.0000108E+001, 2.0000126E+001, 2.0000047E+001, 2.0000141E+001, 2.0000140E+001, 2.0000031E+001, 2.0000087E+001, 1.9999996E+001, 2.0000042E+001, 1.9999992E+001, 2.0000085E+001, 1.9999949E+001, 2.0000059E+001, 2.0000048E+001, 2.0000076E+001, 1.9999931E+001, 2.0000057E+001, 1.9999990E+001, 1.9999994E+001, 2.0000061E+001, 2.0000050E+001, 1.9999967E+001, 2.0000056E+001, 1.9999962E+001, 2.0000036E+001, 1.9999998E+001, 2.0000035E+001, 1.9999939E+001, 2.0000044E+001, 1.9999884E+001, 2.0000002E+001, 2.0000003E+001, 2.0000066E+001, 1.9999920E+001, 2.0000000E+001, 1.9999945E+001
 7.0179495E+000, 2.0000079E+001, 2.0000129E+001, 2.0000136E+001, 2.0000147E+001, 2.0000062E+001, 2.0000167E+001, 2.0000164E+001, 2.0000026E+001, 2.0000105E+001, 1.9999997E+001, 2.0000068E+001, 1.9999989E+001, 2.0000103E+001, 1.9999943E+001, 2.0000072E+001, 2.0000058E+001, 2.0000093E+001, 1.9999917E+001, 2.0000079E+001, 1.9999980E+001, 1.9999983E+001, 2.0000077E+001, 2.0000051E+001, 1.9999959E+001, 2.0000059E+001, 1.9999961E+001, 2.0000052E+001, 1.9999983E+001, 2.0000028E+001, 1.9999950E+001, 2.0000062E+001, 1.9999864E+001, 2.0000001E+001, 2.0000013E+001, 2.0000083E+001, 1.9999906E+001, 2.0000009E+001, 1.9999940E+001
 8.0004961E+000, 2.0000084E+001, 2.0000176E+001, 2.0000163E+001, 2.0000161E+001, 2.0000078E+001, 2.0000185E+001, 2.0000179E+001, 2.0000015E+001, 2.0000120E+001, 1.9999999E+001, 2.0000098E+001, 1.9999984E+001, 2.0000118E+001, 1.9999944E+001, 2.0000084E+001, 2.0000066E+001, 2.0000105E+001, 1.9999909E+001, 2.0000103E+001, 1.9999970E+001, 1.9999971E+001, 2.0000094E+001, 2.0000045E+001, 1.9999955E+001, 2.0000058E+001, 1.9999967E+001, 2.0000067E+001, 1.9999962E+001, 2.0000017E+001, 1.9999977E+001, 2.0000082E+001, 1.9999850E+001, 2.0000000E+001, 2.0000026E+001, 2.0000100E+001, 1.9999894E+001, 2.0000022E+001, 1.9999940E+001
 9.0104228E+000, 2.0000097E+001, 2.0000234E+001, 2.0000193E+001, 2.0000175E+001, 2.0000101E+001, 2.0000199E+001, 2.0000187E+001, 2.0000014E+001, 2.0000134E+001, 2.0000005E+001, 2.0000133E+001, 1.9999983E+001, 2.0000133E+001, 1.9999962E+001, 2.0000096E+001, 2.0000074E+001, 2.0000110E+001, 1.9999912E+001, 2.0000126E+001, 1.9999965E+001, 1.9999964E+001, 2.0000107E+001, 2.0000031E+001, 1.9999960E+001, 2.0000056E+001, 1.9999986E+001, 2.0000081E+001, 1.9999943E+001, 2.0000006E+001, 2.0000028E+001, 2.0000096E+001, 1.9999852E+001, 2.0000001E+001, 2.0000042E+001, 2.0000112E+001, 1.9999895E+001, 2.0000036E+001, 1.9999946E+001
 1.0006285E+001, 2.0000105E+001, 2.0000277E+001, 2.0000216E+001, 2.0000185E+001, 2.0000123E+001, 2.0000201E+001, 2.0000183E+001, 2.0000016E+001, 2.0000144E+001, 2.0000019E+001, 2.0000155E+001, 1.9999991E+001, 2.0000146E+001, 1.9999995E+001, 2.0000108E+001, 2.0000082E+001, 2.0000099E+001, 1.9999936E+001, 2.0000145E+001, 1.9999960E+001, 1.9999961E+001, 2.0000109E+001, 2.0000004E+001, 1.9999969E+001, 2.0000056E+001, 2.0000015E+001, 2.0000093E+001, 1.9999934E+001, 1.9999997E+001, 2.0000089E+001, 2.0000104E+001, 1.9999880E+001, 2.0000006E+001, 2.0000052E+001, 2.0000111E+001, 1.9999915E+001, 2.0000043E+001, 1.9999961E+001
 1.1002480E+001, 2.0000117E+001, 2.0000309E+001, 2.0000239E+001, 2.0000200E+001, 2.0000144E+001, 2.0000200E+001, 2.0000184E+001, 2.0000028E+001, 2.0000152E+001, 2.0000053E+001, 2.0000171E+001, 2.0000014E+001, 2.0000158E+001, 2.0000037E+001, 2.0000119E+001, 2.0000093E+001, 2.0000083E+001, 1.9999981E+001, 2.0000153E+001, 1.9999971E+001, 1.9999967E+001, 2.0000095E+001, 1.9999982E+001, 1.9999978E+001, 2.0000061E+001, 2.0000044E+001, 2.0000095E+001, 1.9999931E+001, 1.9999990E+001, 2.0000128E+001, 2.0000101E+001, 1.9999924E+001, 2.0000009E+001, 2.0000060E+001, 2.0000095E+001, 1.9999970E+001, 2.0000041E+001, 1.9999981E+001
 1.2000934E+001, 2.0000143E+001, 2.0000326E+001, 2.0000264E+001, 2.0000218E+001, 2.0000165E+001, 2.0000188E+001, 2.0000191E+001, 2.0000058E+001, 2.0000155E+001, 2.0000102E+001, 2.0000170E+001, 2.0000058E+001, 2.0000156E+001, 2.0000088E+001, 2.0000123E+001, 2.0000106E+001, 2.0000059E+001, 2.0000036E+001, 2.0000136E+001, 2.0000005E+001, 1.9999989E+001, 2.0000065E+001, 1.9999975E+001, 1.9999984E+001, 2.0000071E+001, 2.0000066E+001, 2.0000078E+001, 1.9999945E+001, 1.9999984E+001, 2.0000146E+001, 2.0000073E+001, 1.9999984E+001, 2.0000005E+001, 2.0000065E+001, 2.0000069E+001, 2.0000034E+001, 2.0000015E+001, 2.0000012E+001
 1.3000274E+001, 2.0000194E+001, 2.0000311E+001, 2.0000294E+001, 2.0000241E+001, 2.0000187E+001, 2.0000174E+001, 2.0000202E+001, 2.0000106E+001, 2.0000149E+001, 2.0000148E+001, 2.0000134E+001, 2.0000114E+001, 2.0000138E+001, 2.0000150E+001, 2.0000117E+001, 2.0000118E+001, 2.0000044E+001, 2.0000080E+001, 2.0000076E+001, 2.0000050E+001, 2.0000028E+001, 2.0000025E+001, 1.9999978E+001, 1.9999988E+001, 2.0000086E+001, 2.0000083E+001, 2.0000051E+001, 1.9999981E+001, 1.9999981E+001, 2.0000154E+001, 2.0000041E+001, 2.0000052E+001, 1.9999994E+001, 2.0000064E+001, 2.0000037E+001, 2.0000079E+001, 1.9999967E+001, 2.0000040E+001
 1.4002565E+001, 2.0000296E+001, 2.0000289E+001, 2.0000345E+001, 2.0000286E+001, 2.0000228E+001, 2.0000186E+001, 2.0000226E+001, 2.0000180E+001, 2.0000142E+001, 2.0000187E+001, 2.0000093E+001, 2.0000173E+001, 2.0000120E+001, 2.0000202E+001, 2.0000114E+001, 2.0000130E+001, 2.0000051E+001, 2.0000102E+001, 2.0000013E+001, 2.0000095E+001, 2.0000066E+001, 2.0000002E+001, 2.0000005E+001, 1.9999997E+001, 2.0000100E+001, 2.0000098E+001, 2.0000020E+001, 2.0000028E+001, 1.9999982E+001, 2.0000129E+001, 2.0000031E+001, 2.0000093E+001, 1.9999979E+001, 2.0000051E+001, 2.0000022E+001, 2.0000100E+001, 1.9999931E+001, 2.0000048E+001
 1.5010523E+001, 2.0000384E+001, 2.0000292E+001, 2.0000385E+001, 2.0000332E+001, 2.0000268E+001, 2.0000199E+001, 2.0000244E+001, 2.0000240E+001, 2.0000141E+001, 2.0000211E+001, 2.0000086E+001, 2.0000194E+001, 2.0000118E+001, 2.0000222E+001, 2.0000118E+001, 2.0000134E+001, 2.0000070E+001, 2.0000111E+001, 1.9999994E+001, 2.0000111E+001, 2.0000091E+001, 2.0000002E+001, 2.0000034E+001, 2.0000012E+001, 2.0000104E+001, 2.0000109E+001, 2.0000014E+001, 2.0000054E+001, 1.9999990E+001, 2.0000070E+001, 2.0000041E+001, 2.0000105E+001, 1.9999975E+001, 2.0000018E+001, 2.0000024E+001, 2.0000106E+001, 1.9999924E+001, 2.0000034E+001
 1.6012661E+001, 2.0000442E+001, 2.0000323E+001, 2.0000418E+001, 2.0000388E+001, 2.0000309E+001, 2.0000232E+001, 2.0000266E+001, 2.0000284E+001, 2.0000159E+001, 2.0000212E+001, 2.0000103E+001, 2.0000196E+001, 2.0000132E+001, 2.0000220E+001, 2.0000141E+001, 2.0000135E+001, 2.0000114E+001, 2.0000111E+001, 2.0000000E+001, 2.0000108E+001, 2.0000109E+001, 2.0000023E+001, 2.0000053E+001, 2.0000040E+001, 2.0000082E+001, 2.0000116E+001, 2.0000024E+001, 2.0000064E+001, 2.0000012E+001, 2.0000015E+001, 2.0000075E+001, 2.0000107E+001, 1.9999986E+001, 1.9999987E+001, 2.0000036E+001, 2.0000087E+001, 1.9999949E+001, 1.9999989E+001
 1.7008727E+001, 2.0000478E+001, 2.0000389E+001, 2.0000439E+001, 2.0000442E+001, 2.0000353E+001, 2.0000291E+001, 2.0000292E+001, 2.0000316E+001, 2.0000206E+001, 2.0000198E+001, 2.0000161E+001, 2.0000177E+001, 2.0000171E+001, 2.0000193E+001, 2.0000193E+001, 2.0000143E+001, 2.0000163E+001, 2.0000114E+001, 2.0000040E+001, 2.0000080E+001, 2.0000122E+001, 2.0000076E+001, 2.0000061E+001, 2.0000065E+001, 2.0000047E+001, 2.0000114E+001, 2.0000064E+001, 2.0000068E+001, 2.0000032E+001, 1.9999994E+001, 2.0000111E+001, 2.0000102E+001, 2.0000030E+001, 1.9999974E+001, 2.0000053E+001, 2.0000057E+001, 2.0000025E+001, 1.9999955E+001
 1.8015310E+001, 2.0000481E+001, 2.0000473E+001, 2.0000451E+001, 2.0000487E+001, 2.0000406E+001, 2.0000370E+001, 2.0000319E+001, 2.0000341E+001, 2.0000287E+001, 2.0000204E+001, 2.0000234E+001, 2.0000177E+001, 2.0000215E+001, 2.0000189E+001, 2.0000247E+001, 2.0000165E+001, 2.0000192E+001, 2.0000130E+001, 2.0000101E+001, 2.0000061E+001, 2.0000126E+001, 2.0000126E+001, 2.0000069E+001, 2.0000079E+001, 2.0000033E+001, 2.0000094E+001, 2.0000123E+001, 2.0000073E+001, 2.0000047E+001, 1.9999995E+001, 2.0000123E+001, 2.0000099E+001, 2.0000076E+001, 1.9999975E+001, 2.0000061E+001, 2.0000043E+001, 2.0000083E+001, 1.9999955E+001
 1.9006051E+001, 2.0000501E+001, 2.0000552E+001, 2.0000490E+001, 2.0000530E+001, 2.0000486E+001, 2.0000453E+001, 2.0000359E+001, 2.0000364E+001, 2.0000368E+001, 2.0000238E+001, 2.0000282E+001, 2.0000207E+001, 2.0000246E+001, 2.0000207E+001, 2.0000281E+001, 2.0000224E+001, 2.0000212E+001, 2.0000171E+001, 2.0000152E+001, 2.0000070E+001, 2.0000124E+001, 2.0000159E+001, 2.0000084E+001, 2.0000087E+001, 2.0000037E+001, 2.0000069E+001, 2.0000163E+001, 2.0000086E+001, 2.0000059E+001, 2.0000018E+001, 2.0000111E+001, 2.0000103E+001, 2.0000109E+001, 2.0000009E+001, 2.0000050E+001, 2.0000042E+001, 2.0000106E+001, 1.9999988E+001
 2.0013202E+001, 2.0000544E+001, 2.0000598E+001, 2.0000536E+001, 2.0000559E+001, 2.0000563E+001, 2.0000523E+001, 2.0000402E+001, 2.0000390E+001, 2.0000419E+001, 2.0000322E+001, 2.0000310E+001, 2.0000260E+001, 2.0000262E+001, 2.0000240E+001, 2.0000300E+001, 2.0000288E+001, 2.0000219E+001, 2.0000218E+001, 2.0000182E+001, 2.0000095E+001, 2.0000120E+001, 2.0000177E+001, 2.0000103E+001, 2.0000093E+001, 2.0000057E+001, 2.0000059E+001, 2.0000184E+001, 2.0000109E+001, 2.0000072E+001, 2.0000056E+001, 2.0000060E+001, 2.0000106E+001, 2.0000127E+001, 2.0000074E+001, 2.0000018E+001, 2.0000044E+001, 2.0000110E+001, 2.0000060E+001
 2.1003689E+001, 2.0000658E+001, 2.0000634E+001, 2.0000606E+001, 2.0000594E+001, 2.0000625E+001, 2.0000591E+001, 2.0000466E+001, 2.0000422E+001, 2.0000458E+001, 2.0000425E+001, 2.0000323E+001, 2.0000316E+001, 2.0000266E+001, 2.0000281E+001, 2.0000299E+001, 2.0000327E+001, 2.0000234E+001, 2.0000249E+001, 2.0000206E+001, 2.0000155E+001, 2.0000124E+001, 2.0000168E+001, 2.0000133E+001, 2.0000103E+001, 2.0000094E+001, 2.0000065E+001, 2.0000165E+001, 2.0000151E+001, 2.0000087E+001, 2.0000079E+001, 2.0000022E+001, 2.0000104E+001, 2.0000136E+001, 2.0000122E+001, 2.0000001E+001, 2.0000047E+001, 2.0000084E+001, 2.0000104E+001
