s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0281254E+000, 2.0000007E+001, 2.0000002E+001, 2.0000000E+001, 1.9999989E+001, 2.0000000E+001, 1.9999995E+001, 1.9999998E+001, 1.9999999E+001, 1.9999997E+001, 2.0000008E+001, 2.0000001E+001, 2.0000008E+001, 2.0000009E+001, 1.9999996E+001, 2.0000010E+001, 2.0000004E+001, 1.9999999E+001, 2.0000000E+001, 2.0000004E+001, 2.0000007E+001, 1.9999998E+001, 2.0000010E+001, 2.0000010E+001, 1.9999999E+001, 2.0000005E+001, 1.9999995E+001, 1.9999999E+001, 1.9999995E+001, 2.0000007E+001, 1.9999991E+001, 2.0000004E+001, 2.0000003E+001, 2.0000006E+001, 1.9999989E+001, 2.0000003E+001, 1.9999998E+001, 1.9999999E+001, 2.0000005E+001
 2.0197084E+000, 2.0000011E+001, 2.0000019E+001, 2.0000004E+001, 1.9999990E+001, 2.0000001E+001, 2.0000011E+001, 2.0000003E+001, 1.9999997E+001, 2.0000003E+001, 2.0000005E+001, 1.9999994E+001, 2.0000020E+001, 2.0000005E+001, 2.0000012E+001, 1.9999992E+001, 2.0000006E+001, 1.9999989E+001, 2.0000014E+001, 2.0000012E+001, 2.0000005E+001, 2.0000000E+001, 2.0000006E+001, 2.0000008E+001, 1.9999988E+001, 2.0000006E+001, 1.9999998E+001, 2.0000007E+001, 1.9999995E+001, 2.0000009E+001, 2.0000001E+001, 2.0000008E+001, 2.0000006E+001, 2.0000002E+001, 1.9999994E+001, 2.0000011E+001, 1.9999993E+001, 1.9999992E+001, 2.0000002E+001
 3.0120939E+000, 2.0000056E+001, 2.0000055E+001, 2.0000050E+001, 2.0000043E+001, 2.0000010E+001, 2.0000030E+001, 2.0000038E+001, 2.0000025E+001, 2.0000016E+001, 2.0000015E+001, 2.0000025E+001, 2.0000007E+001, 2.0000027E+001, 2.0000020E+001, 2.0000008E+001, 1.9999996E+001, 2.0000015E+001, 1.9999999E+001, 2.0000024E+001, 2.0000017E+001, 2.0000008E+001, 1.9999998E+001, 2.0000007E+001, 2.0000009E+001, 1.9999995E+001, 2.0000010E+001, 1.9999989E+001, 2.0000010E+001, 1.9999998E+001, 2.0000018E+001, 2.0000006E+001, 2.0000006E+001, 1.9999999E+001, 2.0000007E+001, 1.9999983E+001, 2.0000008E+001, 2.0000008E+001, 1.9999993E+001
 4.0138050E+000, 2.0001351E+001, 2.0001257E+001, 2.0001155E+001, 2.0001068E+001, 2.0000944E+001, 2.0000856E+001, 2.0000803E+001, 2.0000757E+001, 2.0000659E+001, 2.0000612E+001, 2.0000554E+001, 2.0000523E+001, 2.0000470E+001, 2.0000446E+001, 2.0000409E+001, 2.0000362E+001, 2.0000310E+001, 2.0000298E+001, 2.0000267E+001, 2.0000264E+001, 2.0000227E+001, 2.0000211E+001, 2.0000184E+001, 2.0000176E+001, 2.0000152E+001, 2.0000127E+001, 2.0000128E+001, 2.0000108E+001, 2.0000105E+001, 2.0000090E+001, 2.0000101E+001, 2.0000086E+001, 2.0000080E+001, 2.0000064E+001, 2.0000057E+001, 2.0000042E+001, 2.0000051E+001, 2.0000052E+001
 5.0038980E+000, 2.0003951E+001, 2.0003729E+001, 2.0003402E+001, 2.0003213E+001, 2.0002929E+001, 2.0002735E+001, 2.0002463E+001, 2.0002341E+001, 2.0002148E+001, 2.0001995E+001, 2.0001803E+001, 2.0001703E+001, 2.0001537E+001, 2.0001453E+001, 2.0001327E+001, 2.0001256E+001, 2.0001091E+001, 2.0001027E+001, 2.0000937E+001, 2.0000881E+001, 2.0000820E+001, 2.0000763E+001, 2.0000669E+001, 2.0000625E+001, 2.0000577E+001, 2.0000528E+001, 2.0000470E+001, 2.0000446E+001, 2.0000392E+001, 2.0000372E+001, 2.0000342E+001, 2.0000333E+001, 2.0000285E+001, 2.0000273E+001, 2.0000241E+001, 2.0000216E+001, 2.0000190E+001, 2.0000195E+001
 6.0045498E+000, 2.0005928E+001, 2.0005607E+001, 2.0005156E+001, 2.0004864E+001, 2.0004469E+001, 2.0004219E+001, 2.0003823E+001, 2.0003583E+001, 2.0003311E+001, 2.0003133E+001, 2.0002834E+001, 2.0002655E+001, 2.0002438E+001, 2.0002280E+001, 2.0002092E+001, 2.0001976E+001, 2.0001813E+001, 2.0001660E+001, 2.0001510E+001, 2.0001419E+001, 2.0001303E+001, 2.0001234E+001, 2.0001115E+001, 2.0001030E+001, 2.0000933E+001, 2.0000885E+001, 2.0000774E+001, 2.0000730E+001, 2.0000660E+001, 2.0000618E+001, 2.0000556E+001, 2.0000529E+001, 2.0000499E+001, 2.0000452E+001, 2.0000400E+001, 2.0000387E+001, 2.0000326E+001, 2.0000317E+001
 7.0020045E+000, 2.0007457E+001, 2.0007042E+001, 2.0006491E+001, 2.0006137E+001, 2.0005638E+001, 2.0005332E+001, 2.0004893E+001, 2.0004584E+001, 2.0004176E+001, 2.0003967E+001, 2.0003642E+001, 2.0003416E+001, 2.0003107E+001, 2.0002939E+001, 2.0002677E+001, 2.0002527E+001, 2.0002329E+001, 2.0002194E+001, 2.0001952E+001, 2.0001829E+001, 2.0001673E+001, 2.0001584E+001, 2.0001465E+001, 2.0001367E+001, 2.0001220E+001, 2.0001142E+001, 2.0001055E+001, 2.0000960E+001, 2.0000880E+001, 2.0000816E+001, 2.0000741E+001, 2.0000688E+001, 2.0000645E+001, 2.0000615E+001, 2.0000555E+001, 2.0000501E+001, 2.0000460E+001, 2.0000422E+001
 8.0036969E+000, 2.0008994E+001, 2.0008502E+001, 2.0007813E+001, 2.0007408E+001, 2.0006825E+001, 2.0006457E+001, 2.0005948E+001, 2.0005622E+001, 2.0005113E+001, 2.0004810E+001, 2.0004454E+001, 2.0004207E+001, 2.0003827E+001, 2.0003601E+001, 2.0003300E+001, 2.0003107E+001, 2.0002851E+001, 2.0002707E+001, 2.0002463E+001, 2.0002286E+001, 2.0002077E+001, 2.0001957E+001, 2.0001803E+001, 2.0001716E+001, 2.0001550E+001, 2.0001440E+001, 2.0001313E+001, 2.0001240E+001, 2.0001096E+001, 2.0001037E+001, 2.0000937E+001, 2.0000880E+001, 2.0000788E+001, 2.0000763E+001, 2.0000710E+001, 2.0000662E+001, 2.0000577E+001, 2.0000557E+001
 9.0037928E+000, 2.0010629E+001, 2.0010086E+001, 2.0009287E+001, 2.0008785E+001, 2.0008115E+001, 2.0007692E+001, 2.0007091E+001, 2.0006720E+001, 2.0006173E+001, 2.0005804E+001, 2.0005315E+001, 2.0005051E+001, 2.0004651E+001, 2.0004367E+001, 2.0003996E+001, 2.0003773E+001, 2.0003457E+001, 2.0003266E+001, 2.0003027E+001, 2.0002838E+001, 2.0002552E+001, 2.0002394E+001, 2.0002197E+001, 2.0002084E+001, 2.0001928E+001, 2.0001802E+001, 2.0001618E+001, 2.0001527E+001, 2.0001388E+001, 2.0001287E+001, 2.0001171E+001, 2.0001101E+001, 2.0000998E+001, 2.0000922E+001, 2.0000879E+001, 2.0000841E+001, 2.0000727E+001, 2.0000697E+001
 1.0009478E+001, 2.0012459E+001, 2.0011826E+001, 2.0010941E+001, 2.0010365E+001, 2.0009557E+001, 2.0009072E+001, 2.0008388E+001, 2.0007955E+001, 2.0007351E+001, 2.0006950E+001, 2.0006353E+001, 2.0006001E+001, 2.0005557E+001, 2.0005272E+001, 2.0004812E+001, 2.0004543E+001, 2.0004172E+001, 2.0003944E+001, 2.0003631E+001, 2.0003455E+001, 2.0003145E+001, 2.0002939E+001, 2.0002675E+001, 2.0002529E+001, 2.0002342E+001, 2.0002225E+001, 2.0002022E+001, 2.0001883E+001, 2.0001732E+001, 2.0001616E+001, 2.0001457E+001, 2.0001370E+001, 2.0001252E+001, 2.0001173E+001, 2.0001071E+001, 2.0001029E+001, 2.0000959E+001, 2.0000881E+001
 1.1000571E+001, 2.0014340E+001, 2.0013601E+001, 2.0012590E+001, 2.0011965E+001, 2.0011048E+001, 2.0010478E+001, 2.0009703E+001, 2.0009220E+001, 2.0008530E+001, 2.0008102E+001, 2.0007463E+001, 2.0007036E+001, 2.0006477E+001, 2.0006162E+001, 2.0005688E+001, 2.0005362E+001, 2.0004927E+001, 2.0004660E+001, 2.0004288E+001, 2.0004065E+001, 2.0003772E+001, 2.0003542E+001, 2.0003212E+001, 2.0003020E+001, 2.0002781E+001, 2.0002649E+001, 2.0002449E+001, 2.0002301E+001, 2.0002080E+001, 2.0001971E+001, 2.0001784E+001, 2.0001671E+001, 2.0001524E+001, 2.0001443E+001, 2.0001305E+001, 2.0001235E+001, 2.0001154E+001, 2.0001117E+001
 1.2005267E+001, 2.0016412E+001, 2.0015589E+001, 2.0014419E+001, 2.0013702E+001, 2.0012699E+001, 2.0012048E+001, 2.0011143E+001, 2.0010593E+001, 2.0009824E+001, 2.0009337E+001, 2.0008648E+001, 2.0008193E+001, 2.0007518E+001, 2.0007123E+001, 2.0006619E+001, 2.0006273E+001, 2.0005760E+001, 2.0005449E+001, 2.0005022E+001, 2.0004755E+001, 2.0004400E+001, 2.0004188E+001, 2.0003824E+001, 2.0003588E+001, 2.0003278E+001, 2.0003105E+001, 2.0002887E+001, 2.0002745E+001, 2.0002501E+001, 2.0002342E+001, 2.0002152E+001, 2.0002016E+001, 2.0001829E+001, 2.0001723E+001, 2.0001602E+001, 2.0001494E+001, 2.0001345E+001, 2.0001328E+001
 1.3004605E+001, 2.0018695E+001, 2.0017775E+001, 2.0016457E+001, 2.0015630E+001, 2.0014488E+001, 2.0013776E+001, 2.0012744E+001, 2.0012105E+001, 2.0011230E+001, 2.0010685E+001, 2.0009915E+001, 2.0009427E+001, 2.0008695E+001, 2.0008220E+001, 2.0007593E+001, 2.0007240E+001, 2.0006686E+001, 2.0006325E+001, 2.0005825E+001, 2.0005523E+001, 2.0005095E+001, 2.0004846E+001, 2.0004491E+001, 2.0004231E+001, 2.0003855E+001, 2.0003633E+001, 2.0003356E+001, 2.0003200E+001, 2.0002968E+001, 2.0002786E+001, 2.0002544E+001, 2.0002402E+001, 2.0002180E+001, 2.0002050E+001, 2.0001898E+001, 2.0001804E+001, 2.0001590E+001, 2.0001541E+001
 1.4005045E+001, 2.0021300E+001, 2.0020235E+001, 2.0018754E+001, 2.0017813E+001, 2.0016494E+001, 2.0015686E+001, 2.0014542E+001, 2.0013811E+001, 2.0012794E+001, 2.0012176E+001, 2.0011312E+001, 2.0010769E+001, 2.0009993E+001, 2.0009467E+001, 2.0008719E+001, 2.0008279E+001, 2.0007704E+001, 2.0007306E+001, 2.0006735E+001, 2.0006381E+001, 2.0005895E+001, 2.0005591E+001, 2.0005193E+001, 2.0004937E+001, 2.0004525E+001, 2.0004258E+001, 2.0003902E+001, 2.0003706E+001, 2.0003452E+001, 2.0003287E+001, 2.0002998E+001, 2.0002831E+001, 2.0002587E+001, 2.0002432E+001, 2.0002231E+001, 2.0002125E+001, 2.0001934E+001, 2.0001815E+001
 1.5001791E+001, 2.0024233E+001, 2.0022991E+001, 2.0021287E+001, 2.0020232E+001, 2.0018733E+001, 2.0017799E+001, 2.0016513E+001, 2.0015700E+001, 2.0014543E+001, 2.0013826E+001, 2.0012845E+001, 2.0012238E+001, 2.0011378E+001, 2.0010831E+001, 2.0010001E+001, 2.0009475E+001, 2.0008784E+001, 2.0008378E+001, 2.0007753E+001, 2.0007350E+001, 2.0006789E+001, 2.0006446E+001, 2.0005965E+001, 2.0005685E+001, 2.0005270E+001, 2.0004976E+001, 2.0004554E+001, 2.0004300E+001, 2.0003985E+001, 2.0003806E+001, 2.0003536E+001, 2.0003325E+001, 2.0003048E+001, 2.0002874E+001, 2.0002647E+001, 2.0002491E+001, 2.0002296E+001, 2.0002180E+001
 1.6000289E+001, 2.0027702E+001, 2.0026264E+001, 2.0024253E+001, 2.0023032E+001, 2.0021324E+001, 2.0020250E+001, 2.0018754E+001, 2.0017838E+001, 2.0016533E+001, 2.0015709E+001, 2.0014569E+001, 2.0013871E+001, 2.0012905E+001, 2.0012298E+001, 2.0011415E+001, 2.0010829E+001, 2.0009999E+001, 2.0009517E+001, 2.0008855E+001, 2.0008416E+001, 2.0007778E+001, 2.0007384E+001, 2.0006833E+001, 2.0006494E+001, 2.0006045E+001, 2.0005748E+001, 2.0005285E+001, 2.0004987E+001, 2.0004585E+001, 2.0004362E+001, 2.0004088E+001, 2.0003882E+001, 2.0003550E+001, 2.0003360E+001, 2.0003098E+001, 2.0002934E+001, 2.0002643E+001, 2.0002560E+001
 1.7004428E+001, 2.0031792E+001, 2.0030120E+001, 2.0027767E+001, 2.0026309E+001, 2.0024318E+001, 2.0023083E+001, 2.0021343E+001, 2.0020270E+001, 2.0018785E+001, 2.0017850E+001, 2.0016527E+001, 2.0015716E+001, 2.0014600E+001, 2.0013913E+001, 2.0012946E+001, 2.0012317E+001, 2.0011384E+001, 2.0010799E+001, 2.0010035E+001, 2.0009565E+001, 2.0008870E+001, 2.0008420E+001, 2.0007794E+001, 2.0007405E+001, 2.0006870E+001, 2.0006554E+001, 2.0006079E+001, 2.0005752E+001, 2.0005279E+001, 2.0004998E+001, 2.0004649E+001, 2.0004461E+001, 2.0004115E+001, 2.0003889E+001, 2.0003602E+001, 2.0003414E+001, 2.0003087E+001, 2.0002936E+001
 1.8004953E+001, 2.0037001E+001, 2.0034988E+001, 2.0032203E+001, 2.0030465E+001, 2.0028062E+001, 2.0026603E+001, 2.0024568E+001, 2.0023297E+001, 2.0021544E+001, 2.0020464E+001, 2.0018937E+001, 2.0017981E+001, 2.0016664E+001, 2.0015863E+001, 2.0014752E+001, 2.0014060E+001, 2.0013042E+001, 2.0012377E+001, 2.0011447E+001, 2.0010905E+001, 2.0010148E+001, 2.0009654E+001, 2.0008938E+001, 2.0008495E+001, 2.0007873E+001, 2.0007495E+001, 2.0006988E+001, 2.0006646E+001, 2.0006125E+001, 2.0005790E+001, 2.0005349E+001, 2.0005103E+001, 2.0004772E+001, 2.0004530E+001, 2.0004203E+001, 2.0003986E+001, 2.0003662E+001, 2.0003432E+001
 1.9008323E+001, 2.0043679E+001, 2.0041219E+001, 2.0037833E+001, 2.0035752E+001, 2.0032837E+001, 2.0031054E+001, 2.0028613E+001, 2.0027105E+001, 2.0024995E+001, 2.0023706E+001, 2.0021915E+001, 2.0020791E+001, 2.0019221E+001, 2.0018259E+001, 2.0016943E+001, 2.0016136E+001, 2.0015002E+001, 2.0014263E+001, 2.0013182E+001, 2.0012516E+001, 2.0011637E+001, 2.0011092E+001, 2.0010295E+001, 2.0009784E+001, 2.0009069E+001, 2.0008624E+001, 2.0008020E+001, 2.0007659E+001, 2.0007104E+001, 2.0006735E+001, 2.0006207E+001, 2.0005893E+001, 2.0005494E+001, 2.0005262E+001, 2.0004895E+001, 2.0004662E+001, 2.0004289E+001, 2.0004064E+001
 2.0007315E+001, 2.0052472E+001, 2.0049406E+001, 2.0045189E+001, 2.0042617E+001, 2.0039057E+001, 2.0036849E+001, 2.0033824E+001, 2.0031983E+001, 2.0029426E+001, 2.0027843E+001, 2.0025669E+001, 2.0024331E+001, 2.0022444E+001, 2.0021278E+001, 2.0019675E+001, 2.0018700E+001, 2.0017361E+001, 2.0016524E+001, 2.0015303E+001, 2.0014511E+001, 2.0013429E+001, 2.0012789E+001, 2.0011895E+001, 2.0011316E+001, 2.0010489E+001, 2.0009973E+001, 2.0009254E+001, 2.0008821E+001, 2.0008222E+001, 2.0007826E+001, 2.0007235E+001, 2.0006860E+001, 2.0006348E+001, 2.0006073E+001, 2.0005712E+001, 2.0005438E+001, 2.0005027E+001, 2.0004785E+001
 2.1006929E+001, 2.0063860E+001, 2.0059941E+001, 2.0054608E+001, 2.0051364E+001, 2.0046922E+001, 2.0044196E+001, 2.0040410E+001, 2.0038111E+001, 2.0034965E+001, 2.0033026E+001, 2.0030342E+001, 2.0028703E+001, 2.0026433E+001, 2.0025016E+001, 2.0023053E+001, 2.0021856E+001, 2.0020220E+001, 2.0019226E+001, 2.0017822E+001, 2.0016918E+001, 2.0015612E+001, 2.0014822E+001, 2.0013764E+001, 2.0013108E+001, 2.0012158E+001, 2.0011559E+001, 2.0010718E+001, 2.0010197E+001, 2.0009490E+001, 2.0009057E+001, 2.0008426E+001, 2.0007992E+001, 2.0007378E+001, 2.0007020E+001, 2.0006611E+001, 2.0006332E+001, 2.0005880E+001, 2.0005586E+001
