s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0082120E+000, 2.0000090E+001, 2.0000083E+001, 2.0000076E+001, 2.0000067E+001, 2.0000052E+001, 2.0000050E+001, 2.0000050E+001, 2.0000030E+001, 2.0000025E+001, 2.0000025E+001, 2.0000025E+001, 2.0000020E+001, 2.0000012E+001, 2.0000014E+001, 2.0000027E+001, 2.0000010E+001, 2.0000010E+001, 2.0000015E+001, 2.0000011E+001, 2.0000002E+001, 2.0000012E+001, 2.0000002E+001, 2.0000014E+001, 2.0000003E+001, 2.0000001E+001, 1.9999999E+001, 1.9999994E+001, 2.0000004E+001, 2.0000007E+001, 2.0000005E+001, 2.0000008E+001, 1.9999993E+001, 2.0000012E+001, 2.0000001E+001, 1.9999998E+001, 2.0000001E+001, 2.0000012E+001, 2.0000004E+001
 2.0016739E+000, 2.0015170E+001, 2.0013755E+001, 2.0011868E+001, 2.0010748E+001, 2.0009257E+001, 2.0008365E+001, 2.0007180E+001, 2.0006490E+001, 2.0005566E+001, 2.0005015E+001, 2.0004294E+001, 2.0003868E+001, 2.0003301E+001, 2.0002969E+001, 2.0002531E+001, 2.0002280E+001, 2.0001938E+001, 2.0001742E+001, 2.0001483E+001, 2.0001328E+001, 2.0001123E+001, 2.0001012E+001, 2.0000855E+001, 2.0000771E+001, 2.0000655E+001, 2.0000584E+001, 2.0000500E+001, 2.0000442E+001, 2.0000380E+001, 2.0000341E+001, 2.0000292E+001, 2.0000271E+001, 2.0000223E+001, 2.0000213E+001, 2.0000193E+001, 2.0000168E+001, 2.0000147E+001, 2.0000136E+001
 3.0121421E+000, 2.0114026E+001, 2.0104810E+001, 2.0092448E+001, 2.0085071E+001, 2.0075155E+001, 2.0069216E+001, 2.0061224E+001, 2.0056442E+001, 2.0049976E+001, 2.0046106E+001, 2.0040880E+001, 2.0037733E+001, 2.0033471E+001, 2.0030912E+001, 2.0027442E+001, 2.0025350E+001, 2.0022518E+001, 2.0020814E+001, 2.0018497E+001, 2.0017101E+001, 2.0015202E+001, 2.0014051E+001, 2.0012490E+001, 2.0011552E+001, 2.0010272E+001, 2.0009504E+001, 2.0008452E+001, 2.0007818E+001, 2.0006956E+001, 2.0006440E+001, 2.0005739E+001, 2.0005317E+001, 2.0004754E+001, 2.0004408E+001, 2.0003943E+001, 2.0003676E+001, 2.0003306E+001, 2.0003087E+001
 4.0053681E+000, 2.0398125E+001, 2.0366255E+001, 2.0323852E+001, 2.0298722E+001, 2.0265094E+001, 2.0245066E+001, 2.0218163E+001, 2.0202088E+001, 2.0180437E+001, 2.0167446E+001, 2.0149852E+001, 2.0139285E+001, 2.0124979E+001, 2.0116340E+001, 2.0104593E+001, 2.0097501E+001, 2.0087840E+001, 2.0081991E+001, 2.0074015E+001, 2.0069176E+001, 2.0062557E+001, 2.0058539E+001, 2.0053034E+001, 2.0049677E+001, 2.0045070E+001, 2.0042266E+001, 2.0038412E+001, 2.0036061E+001, 2.0032822E+001, 2.0030840E+001, 2.0028114E+001, 2.0026449E+001, 2.0024163E+001, 2.0022766E+001, 2.0020861E+001, 2.0019704E+001, 2.0018146E+001, 2.0017296E+001
 5.0026414E+000, 2.0738008E+001, 2.0676656E+001, 2.0595539E+001, 2.0547804E+001, 2.0484375E+001, 2.0446854E+001, 2.0396709E+001, 2.0366893E+001, 2.0326869E+001, 2.0302993E+001, 2.0270850E+001, 2.0251556E+001, 2.0225444E+001, 2.0209776E+001, 2.0188541E+001, 2.0175717E+001, 2.0158282E+001, 2.0147745E+001, 2.0133384E+001, 2.0124682E+001, 2.0112805E+001, 2.0105592E+001, 2.0095727E+001, 2.0089735E+001, 2.0081524E+001, 2.0076510E+001, 2.0069632E+001, 2.0065438E+001, 2.0059675E+001, 2.0056156E+001, 2.0051309E+001, 2.0048342E+001, 2.0044257E+001, 2.0041764E+001, 2.0038345E+001, 2.0036265E+001, 2.0033443E+001, 2.0031929E+001
 6.0102790E+000, 2.1027114E+001, 2.0938659E+001, 2.0822191E+001, 2.0753977E+001, 2.0663710E+001, 2.0610578E+001, 2.0539959E+001, 2.0498171E+001, 2.0442320E+001, 2.0409086E+001, 2.0364470E+001, 2.0337868E+001, 2.0302024E+001, 2.0280491E+001, 2.0251376E+001, 2.0233905E+001, 2.0210216E+001, 2.0195920E+001, 2.0176487E+001, 2.0164743E+001, 2.0148746E+001, 2.0139059E+001, 2.0125836E+001, 2.0117807E+001, 2.0106837E+001, 2.0100184E+001, 2.0091066E+001, 2.0085501E+001, 2.0077872E+001, 2.0073222E+001, 2.0066843E+001, 2.0062951E+001, 2.0057592E+001, 2.0054316E+001, 2.0049815E+001, 2.0047075E+001, 2.0043327E+001, 2.0041353E+001
 7.0086186E+000, 2.1373861E+001, 2.1255386E+001, 2.1097644E+001, 2.1004717E+001, 2.0881531E+001, 2.0809013E+001, 2.0712814E+001, 2.0656081E+001, 2.0580576E+001, 2.0535848E+001, 2.0476004E+001, 2.0440354E+001, 2.0392489E+001, 2.0363937E+001, 2.0325421E+001, 2.0302275E+001, 2.0270993E+001, 2.0252212E+001, 2.0226729E+001, 2.0211355E+001, 2.0190456E+001, 2.0177827E+001, 2.0160626E+001, 2.0150213E+001, 2.0135988E+001, 2.0127351E+001, 2.0115559E+001, 2.0108412E+001, 2.0098613E+001, 2.0092638E+001, 2.0084445E+001, 2.0079456E+001, 2.0072615E+001, 2.0068446E+001, 2.0062720E+001, 2.0059221E+001, 2.0054428E+001, 2.0051896E+001
 8.0082564E+000, 2.1710624E+001, 2.1584500E+001, 2.1405465E+001, 2.1294344E+001, 2.1141243E+001, 2.1048488E+001, 2.0923305E+001, 2.0848719E+001, 2.0749018E+001, 2.0689919E+001, 2.0610984E+001, 2.0564107E+001, 2.0501264E+001, 2.0463770E+001, 2.0413412E+001, 2.0383350E+001, 2.0342749E+001, 2.0318353E+001, 2.0285395E+001, 2.0265594E+001, 2.0238723E+001, 2.0222514E+001, 2.0200487E+001, 2.0187179E+001, 2.0169059E+001, 2.0158087E+001, 2.0143095E+001, 2.0133992E+001, 2.0121577E+001, 2.0114054E+001, 2.0103745E+001, 2.0097462E+001, 2.0088844E+001, 2.0083605E+001, 2.0076446E+001, 2.0072086E+001, 2.0066109E+001, 2.0062932E+001
 9.0093173E+000, 2.1892773E+001, 2.1781705E+001, 2.1623894E+001, 2.1523078E+001, 2.1377800E+001, 2.1284354E+001, 2.1149853E+001, 2.1064573E+001, 2.0945022E+001, 2.0871752E+001, 2.0772009E+001, 2.0712110E+001, 2.0631461E+001, 2.0583307E+001, 2.0518492E+001, 2.0479744E+001, 2.0427652E+001, 2.0396511E+001, 2.0354420E+001, 2.0329140E+001, 2.0294994E+001, 2.0274469E+001, 2.0246620E+001, 2.0229825E+001, 2.0207013E+001, 2.0193237E+001, 2.0174491E+001, 2.0163138E+001, 2.0147619E+001, 2.0138200E+001, 2.0125374E+001, 2.0117599E+001, 2.0106946E+001, 2.0100460E+001, 2.0091588E+001, 2.0086202E+001, 2.0078853E+001, 2.0074963E+001
 1.0005883E+001, 2.2031467E+001, 2.1910916E+001, 2.1746975E+001, 2.1648776E+001, 2.1517254E+001, 2.1436818E+001, 2.1322552E+001, 2.1248115E+001, 2.1137483E+001, 2.1064604E+001, 2.0958057E+001, 2.0889825E+001, 2.0793381E+001, 2.0733890E+001, 2.0652426E+001, 2.0603187E+001, 2.0536430E+001, 2.0496366E+001, 2.0442391E+001, 2.0410056E+001, 2.0366328E+001, 2.0340088E+001, 2.0304654E+001, 2.0283356E+001, 2.0254474E+001, 2.0237073E+001, 2.0213460E+001, 2.0199219E+001, 2.0179847E+001, 2.0168121E+001, 2.0152104E+001, 2.0142394E+001, 2.0129170E+001, 2.0121167E+001, 2.0110241E+001, 2.0103594E+001, 2.0094515E+001, 2.0089739E+001
 1.1008761E+001, 2.2381262E+001, 2.2221916E+001, 2.2005423E+001, 2.1876464E+001, 2.1703434E+001, 2.1603443E+001, 2.1476130E+001, 2.1402344E+001, 2.1300923E+001, 2.1236281E+001, 2.1140639E+001, 2.1077563E+001, 2.0983315E+001, 2.0921158E+001, 2.0830134E+001, 2.0771742E+001, 2.0689196E+001, 2.0638158E+001, 2.0567990E+001, 2.0525536E+001, 2.0468062E+001, 2.0433519E+001, 2.0386798E+001, 2.0358793E+001, 2.0320988E+001, 2.0298289E+001, 2.0267559E+001, 2.0249071E+001, 2.0224018E+001, 2.0208944E+001, 2.0188489E+001, 2.0176114E+001, 2.0159212E+001, 2.0149008E+001, 2.0135176E+001, 2.0126816E+001, 2.0115433E+001, 2.0109453E+001
 1.2004191E+001, 2.3073452E+001, 2.2855438E+001, 2.2548892E+001, 2.2360302E+001, 2.2101052E+001, 2.1946951E+001, 2.1742107E+001, 2.1626938E+001, 2.1484828E+001, 2.1405876E+001, 2.1304378E+001, 2.1242154E+001, 2.1152322E+001, 2.1094233E+001, 2.1008046E+001, 2.0951182E+001, 2.0866950E+001, 2.0811634E+001, 2.0730709E+001, 2.0678873E+001, 2.0605842E+001, 2.0560917E+001, 2.0499417E+001, 2.0462209E+001, 2.0411800E+001, 2.0381584E+001, 2.0340839E+001, 2.0316396E+001, 2.0283350E+001, 2.0263514E+001, 2.0236724E+001, 2.0220627E+001, 2.0198785E+001, 2.0185605E+001, 2.0167723E+001, 2.0156944E+001, 2.0142356E+001, 2.0134753E+001
 1.3006825E+001, 2.3758780E+001, 2.3542428E+001, 2.3228229E+001, 2.3025987E+001, 2.2735951E+001, 2.2551511E+001, 2.2284814E+001, 2.2115304E+001, 2.1881831E+001, 2.1747742E+001, 2.1575565E+001, 2.1482045E+001, 2.1364793E+001, 2.1295708E+001, 2.1198993E+001, 2.1137659E+001, 2.1050210E+001, 2.0994162E+001, 2.0912499E+001, 2.0859225E+001, 2.0780545E+001, 2.0729107E+001, 2.0654547E+001, 2.0607297E+001, 2.0541213E+001, 2.0500691E+001, 2.0445467E+001, 2.0412259E+001, 2.0367432E+001, 2.0340595E+001, 2.0304435E+001, 2.0282771E+001, 2.0253549E+001, 2.0236075E+001, 2.0212514E+001, 2.0198318E+001, 2.0179124E+001, 2.0169163E+001
 1.4000235E+001, 2.4229429E+001, 2.4025344E+001, 2.3725522E+001, 2.3531507E+001, 2.3257415E+001, 2.3084433E+001, 2.2832493E+001, 2.2664459E+001, 2.2410593E+001, 2.2240573E+001, 2.2002598E+001, 2.1868202E+001, 2.1700929E+001, 2.1606029E+001, 2.1479824E+001, 2.1401912E+001, 2.1293059E+001, 2.1225323E+001, 2.1130560E+001, 2.1071181E+001, 2.0986086E+001, 2.0931175E+001, 2.0851122E+001, 2.0799059E+001, 2.0722817E+001, 2.0673387E+001, 2.0602227E+001, 2.0557495E+001, 2.0495518E+001, 2.0457904E+001, 2.0406994E+001, 2.0376498E+001, 2.0335430E+001, 2.0310982E+001, 2.0278296E+001, 2.0258834E+001, 2.0232709E+001, 2.0219196E+001
 1.5000606E+001, 2.4586823E+001, 2.4398285E+001, 2.4118355E+001, 2.3936371E+001, 2.3672569E+001, 2.3504289E+001, 2.3253484E+001, 2.3082494E+001, 2.2815611E+001, 2.2635048E+001, 2.2379583E+001, 2.2224401E+001, 2.2024114E+001, 2.1912645E+001, 2.1770778E+001, 2.1688962E+001, 2.1577363E+001, 2.1508074E+001, 2.1409268E+001, 2.1346200E+001, 2.1255848E+001, 2.1198145E+001, 2.1114425E+001, 2.1059952E+001, 2.0978225E+001, 2.0922917E+001, 2.0840249E+001, 2.0785883E+001, 2.0706364E+001, 2.0655551E+001, 2.0583477E+001, 2.0538615E+001, 2.0476998E+001, 2.0439941E+001, 2.0390297E+001, 2.0360852E+001, 2.0321818E+001, 2.0301897E+001
 1.6000712E+001, 2.4646667E+001, 2.4485794E+001, 2.4245079E+001, 2.4088364E+001, 2.3857767E+001, 2.3701407E+001, 2.3459090E+001, 2.3293336E+001, 2.3046162E+001, 2.2883805E+001, 2.2645855E+001, 2.2496901E+001, 2.2292166E+001, 2.2169981E+001, 2.2011808E+001, 2.1922919E+001, 2.1809073E+001, 2.1741340E+001, 2.1646469E+001, 2.1585657E+001, 2.1496687E+001, 2.1439233E+001, 2.1357491E+001, 2.1305069E+001, 2.1229545E+001, 2.1180499E+001, 2.1107456E+001, 2.1057270E+001, 2.0977841E+001, 2.0923443E+001, 2.0840372E+001, 2.0784929E+001, 2.0703295E+001, 2.0651442E+001, 2.0578763E+001, 2.0533947E+001, 2.0473106E+001, 2.0441764E+001
 1.7004490E+001, 2.4542846E+001, 2.4413883E+001, 2.4226133E+001, 2.4099454E+001, 2.3897542E+001, 2.3753649E+001, 2.3528876E+001, 2.3376731E+001, 2.3147503E+001, 2.3001214E+001, 2.2794208E+001, 2.2662619E+001, 2.2478442E+001, 2.2366263E+001, 2.2215775E+001, 2.2128015E+001, 2.2016303E+001, 2.1952220E+001, 2.1863624E+001, 2.1807508E+001, 2.1726213E+001, 2.1673069E+001, 2.1594719E+001, 2.1544419E+001, 2.1471786E+001, 2.1424736E+001, 2.1353995E+001, 2.1306698E+001, 2.1235304E+001, 2.1187055E+001, 2.1113751E+001, 2.1063557E+001, 2.0985616E+001, 2.0932939E+001, 2.0854466E+001, 2.0801620E+001, 2.0725174E+001, 2.0684324E+001
 1.8005845E+001, 3.5778282E+001, 2.5425610E+001, 2.4127838E+001, 2.3996622E+001, 2.3809728E+001, 2.3687494E+001, 2.3498628E+001, 2.3370186E+001, 2.3177807E+001, 2.3051640E+001, 2.2864036E+001, 2.2743601E+001, 2.2574276E+001, 2.2471254E+001, 2.2334030E+001, 2.2257508E+001, 2.2162020E+001, 2.2109051E+001, 2.2039091E+001, 2.1994380E+001, 2.1926909E+001, 2.1881536E+001, 2.1813490E+001, 2.1768870E+001, 2.1702727E+001, 2.1659657E+001, 2.1595759E+001, 2.1552577E+001, 2.1486801E+001, 2.1442536E+001, 2.1376673E+001, 2.1333865E+001, 2.1271618E+001, 2.1232391E+001, 2.1177925E+001, 2.1142065E+001, 2.1082867E+001, 2.1060231E+001
 1.9006607E+001, 1.1938681E+002, 1.1782710E+002, 9.0333961E+001, 6.5732975E+001, 3.6539644E+001, 2.5870606E+001, 2.3450519E+001, 2.3313451E+001, 2.3134349E+001, 2.3023340E+001, 2.2869503E+001, 2.2770983E+001, 2.2629430E+001, 2.2540852E+001, 2.2421452E+001, 2.2350574E+001, 2.2262135E+001, 2.2215567E+001, 2.2158174E+001, 2.2125938E+001, 2.2078299E+001, 2.2045322E+001, 2.1993298E+001, 2.1957941E+001, 2.1904933E+001, 2.1869401E+001, 2.1816700E+001, 2.1782593E+001, 2.1733445E+001, 2.1702500E+001, 2.1659884E+001, 2.1634880E+001, 2.1602071E+001, 2.1582737E+001, 2.1624607E+001, 2.1865520E+001, 2.6131873E+001, 4.1745430E+001
 2.0003716E+001, 5.6110169E+001, 5.5951256E+001, 7.3074843E+001, 9.5505321E+001, 1.1366073E+002, 1.0969143E+002, 7.7659791E+001, 5.1323941E+001, 2.5598320E+001, 2.3093617E+001, 2.2887640E+001, 2.2773443E+001, 2.2640156E+001, 2.2572354E+001, 2.2485487E+001, 2.2433581E+001, 2.2362741E+001, 2.2319783E+001, 2.2264759E+001, 2.2233984E+001, 2.2192518E+001, 2.2165597E+001, 2.2128245E+001, 2.2103758E+001, 2.2069197E+001, 2.2048831E+001, 2.2022746E+001, 2.2007764E+001, 2.1989023E+001, 2.1979192E+001, 2.1969342E+001, 2.1967772E+001, 2.1986976E+001, 2.2241275E+001, 2.7420040E+001, 5.0328167E+001, 1.5754206E+002, 1.4045668E+002
 2.1007036E+001, 4.4199486E+001, 4.1985036E+001, 4.8600699E+001, 5.4229855E+001, 5.5197955E+001, 6.4702976E+001, 9.3779405E+001, 1.1151882E+002, 1.1776768E+002, 9.9691795E+001, 5.9046040E+001, 3.6673380E+001, 2.2944421E+001, 2.2675398E+001, 2.2549211E+001, 2.2496766E+001, 2.2439310E+001, 2.2409961E+001, 2.2372438E+001, 2.2349070E+001, 2.2313466E+001, 2.2291252E+001, 2.2260221E+001, 2.2240953E+001, 2.2221892E+001, 2.2217385E+001, 2.2221192E+001, 2.2229585E+001, 2.2246196E+001, 2.2261493E+001, 2.2297512E+001, 2.2353679E+001, 2.2531926E+001, 2.3695879E+001, 4.3271998E+001, 1.9767736E+002, 3.2579297E+002, 3.4766252E+002
