s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0509367E+000, 2.0000005E+001, 2.0000005E+001, 2.0000000E+001, 1.9999989E+001, 2.0000001E+001, 1.9999999E+001, 1.9999999E+001, 1.9999998E+001, 1.9999999E+001, 2.0000005E+001, 1.9999997E+001, 2.0000010E+001, 2.0000005E+001, 2.0000001E+001, 2.0000003E+001, 2.0000003E+001, 1.9999995E+001, 2.0000005E+001, 2.0000004E+001, 2.0000004E+001, 1.9999999E+001, 2.0000007E+001, 2.0000007E+001, 1.9999995E+001, 2.0000004E+001, 1.9999996E+001, 2.0000003E+001, 1.9999995E+001, 2.0000006E+001, 1.9999994E+001, 2.0000004E+001, 2.0000003E+001, 2.0000004E+001, 1.9999992E+001, 2.0000006E+001, 1.9999996E+001, 1.9999996E+001, 2.0000004E+001
 2.0151183E+000, 2.0000003E+001, 2.0000006E+001, 2.0000006E+001, 2.0000003E+001, 1.9999987E+001, 1.9999997E+001, 2.0000007E+001, 2.0000001E+001, 1.9999996E+001, 1.9999997E+001, 2.0000002E+001, 1.9999997E+001, 2.0000006E+001, 2.0000005E+001, 1.9999998E+001, 1.9999993E+001, 2.0000000E+001, 1.9999996E+001, 2.0000008E+001, 2.0000006E+001, 2.0000001E+001, 1.9999996E+001, 2.0000001E+001, 2.0000001E+001, 1.9999995E+001, 2.0000001E+001, 1.9999994E+001, 2.0000001E+001, 1.9999998E+001, 2.0000007E+001, 2.0000003E+001, 2.0000002E+001, 1.9999999E+001, 2.0000002E+001, 1.9999992E+001, 2.0000001E+001, 2.0000003E+001, 1.9999997E+001
 3.0051442E+000, 2.0000009E+001, 2.0000011E+001, 2.0000013E+001, 2.0000017E+001, 2.0000013E+001, 2.0000001E+001, 1.9999992E+001, 2.0000005E+001, 2.0000011E+001, 2.0000002E+001, 1.9999998E+001, 2.0000003E+001, 2.0000000E+001, 2.0000006E+001, 2.0000012E+001, 2.0000014E+001, 1.9999995E+001, 1.9999996E+001, 1.9999999E+001, 2.0000004E+001, 2.0000013E+001, 2.0000011E+001, 2.0000002E+001, 2.0000002E+001, 2.0000006E+001, 2.0000000E+001, 2.0000000E+001, 1.9999999E+001, 1.9999999E+001, 2.0000000E+001, 2.0000006E+001, 2.0000010E+001, 2.0000007E+001, 2.0000005E+001, 2.0000004E+001, 1.9999999E+001, 1.9999997E+001, 2.0000006E+001
 4.0126152E+000, 2.0000023E+001, 2.0000020E+001, 2.0000026E+001, 2.0000026E+001, 2.0000030E+001, 2.0000031E+001, 2.0000025E+001, 2.0000007E+001, 2.0000001E+001, 2.0000015E+001, 2.0000019E+001, 2.0000010E+001, 2.0000004E+001, 2.0000007E+001, 2.0000009E+001, 2.0000012E+001, 2.0000020E+001, 2.0000018E+001, 2.0000000E+001, 1.9999998E+001, 2.0000002E+001, 2.0000009E+001, 2.0000018E+001, 2.0000015E+001, 2.0000005E+001, 2.0000005E+001, 2.0000007E+001, 2.0000000E+001, 2.0000001E+001, 1.9999999E+001, 2.0000000E+001, 1.9999999E+001, 2.0000010E+001, 2.0000012E+001, 2.0000012E+001, 2.0000009E+001, 2.0000002E+001, 2.0000006E+001
 5.0023512E+000, 2.0000070E+001, 2.0000067E+001, 2.0000049E+001, 2.0000044E+001, 2.0000049E+001, 2.0000049E+001, 2.0000051E+001, 2.0000052E+001, 2.0000037E+001, 2.0000018E+001, 2.0000015E+001, 2.0000029E+001, 2.0000029E+001, 2.0000016E+001, 2.0000013E+001, 2.0000013E+001, 2.0000015E+001, 2.0000019E+001, 2.0000029E+001, 2.0000022E+001, 2.0000004E+001, 2.0000001E+001, 2.0000005E+001, 2.0000015E+001, 2.0000025E+001, 2.0000020E+001, 2.0000008E+001, 2.0000010E+001, 2.0000006E+001, 2.0000002E+001, 2.0000001E+001, 2.0000002E+001, 2.0000000E+001, 2.0000000E+001, 2.0000016E+001, 2.0000021E+001, 2.0000011E+001, 2.0000020E+001
 6.0151678E+000, 2.0000114E+001, 2.0000099E+001, 2.0000097E+001, 2.0000091E+001, 2.0000068E+001, 2.0000065E+001, 2.0000068E+001, 2.0000068E+001, 2.0000069E+001, 2.0000069E+001, 2.0000048E+001, 2.0000026E+001, 2.0000028E+001, 2.0000040E+001, 2.0000036E+001, 2.0000024E+001, 2.0000021E+001, 2.0000019E+001, 2.0000020E+001, 2.0000026E+001, 2.0000036E+001, 2.0000025E+001, 2.0000007E+001, 2.0000003E+001, 2.0000009E+001, 2.0000021E+001, 2.0000030E+001, 2.0000023E+001, 2.0000013E+001, 2.0000014E+001, 2.0000007E+001, 2.0000004E+001, 2.0000001E+001, 2.0000001E+001, 2.0000007E+001, 2.0000013E+001, 2.0000015E+001, 2.0000032E+001
 7.0053511E+000, 2.0000179E+001, 2.0000171E+001, 2.0000139E+001, 2.0000127E+001, 2.0000123E+001, 2.0000111E+001, 2.0000087E+001, 2.0000085E+001, 2.0000087E+001, 2.0000087E+001, 2.0000088E+001, 2.0000086E+001, 2.0000057E+001, 2.0000036E+001, 2.0000041E+001, 2.0000053E+001, 2.0000044E+001, 2.0000035E+001, 2.0000028E+001, 2.0000027E+001, 2.0000026E+001, 2.0000036E+001, 2.0000043E+001, 2.0000030E+001, 2.0000010E+001, 2.0000006E+001, 2.0000015E+001, 2.0000028E+001, 2.0000036E+001, 2.0000026E+001, 2.0000021E+001, 2.0000017E+001, 2.0000005E+001, 2.0000003E+001, 2.0000013E+001, 2.0000015E+001, 2.0000006E+001, 2.0000029E+001
 8.0072015E+000, 2.0000253E+001, 2.0000226E+001, 2.0000212E+001, 2.0000199E+001, 2.0000164E+001, 2.0000151E+001, 2.0000147E+001, 2.0000130E+001, 2.0000106E+001, 2.0000104E+001, 2.0000105E+001, 2.0000106E+001, 2.0000107E+001, 2.0000102E+001, 2.0000067E+001, 2.0000047E+001, 2.0000056E+001, 2.0000065E+001, 2.0000054E+001, 2.0000044E+001, 2.0000037E+001, 2.0000034E+001, 2.0000035E+001, 2.0000045E+001, 2.0000048E+001, 2.0000035E+001, 2.0000015E+001, 2.0000010E+001, 2.0000020E+001, 2.0000034E+001, 2.0000042E+001, 2.0000033E+001, 2.0000020E+001, 2.0000013E+001, 2.0000019E+001, 2.0000020E+001, 2.0000010E+001, 2.0000033E+001
 9.0027764E+000, 2.0000358E+001, 2.0000332E+001, 2.0000282E+001, 2.0000257E+001, 2.0000242E+001, 2.0000225E+001, 2.0000188E+001, 2.0000177E+001, 2.0000168E+001, 2.0000149E+001, 2.0000124E+001, 2.0000122E+001, 2.0000124E+001, 2.0000125E+001, 2.0000125E+001, 2.0000116E+001, 2.0000076E+001, 2.0000059E+001, 2.0000071E+001, 2.0000076E+001, 2.0000063E+001, 2.0000053E+001, 2.0000046E+001, 2.0000041E+001, 2.0000044E+001, 2.0000054E+001, 2.0000055E+001, 2.0000041E+001, 2.0000015E+001, 2.0000014E+001, 2.0000032E+001, 2.0000047E+001, 2.0000037E+001, 2.0000031E+001, 2.0000037E+001, 2.0000035E+001, 2.0000017E+001, 2.0000043E+001
 1.0010730E+001, 2.0000461E+001, 2.0000432E+001, 2.0000394E+001, 2.0000363E+001, 2.0000309E+001, 2.0000287E+001, 2.0000269E+001, 2.0000248E+001, 2.0000212E+001, 2.0000204E+001, 2.0000189E+001, 2.0000165E+001, 2.0000143E+001, 2.0000140E+001, 2.0000142E+001, 2.0000144E+001, 2.0000143E+001, 2.0000129E+001, 2.0000085E+001, 2.0000073E+001, 2.0000085E+001, 2.0000087E+001, 2.0000073E+001, 2.0000063E+001, 2.0000053E+001, 2.0000048E+001, 2.0000056E+001, 2.0000064E+001, 2.0000058E+001, 2.0000041E+001, 2.0000027E+001, 2.0000027E+001, 2.0000033E+001, 2.0000040E+001, 2.0000056E+001, 2.0000056E+001, 2.0000035E+001, 2.0000059E+001
 1.1012316E+001, 2.0000588E+001, 2.0000550E+001, 2.0000501E+001, 2.0000472E+001, 2.0000431E+001, 2.0000394E+001, 2.0000339E+001, 2.0000319E+001, 2.0000298E+001, 2.0000272E+001, 2.0000239E+001, 2.0000230E+001, 2.0000210E+001, 2.0000185E+001, 2.0000162E+001, 2.0000160E+001, 2.0000163E+001, 2.0000165E+001, 2.0000161E+001, 2.0000142E+001, 2.0000096E+001, 2.0000090E+001, 2.0000100E+001, 2.0000099E+001, 2.0000082E+001, 2.0000072E+001, 2.0000064E+001, 2.0000059E+001, 2.0000064E+001, 2.0000068E+001, 2.0000067E+001, 2.0000051E+001, 2.0000027E+001, 2.0000028E+001, 2.0000057E+001, 2.0000066E+001, 2.0000054E+001, 2.0000085E+001
 1.2012064E+001, 2.0000756E+001, 2.0000700E+001, 2.0000629E+001, 2.0000591E+001, 2.0000541E+001, 2.0000513E+001, 2.0000467E+001, 2.0000425E+001, 2.0000371E+001, 2.0000351E+001, 2.0000325E+001, 2.0000298E+001, 2.0000266E+001, 2.0000258E+001, 2.0000232E+001, 2.0000205E+001, 2.0000182E+001, 2.0000181E+001, 2.0000185E+001, 2.0000187E+001, 2.0000179E+001, 2.0000153E+001, 2.0000111E+001, 2.0000108E+001, 2.0000114E+001, 2.0000110E+001, 2.0000096E+001, 2.0000086E+001, 2.0000071E+001, 2.0000068E+001, 2.0000080E+001, 2.0000082E+001, 2.0000059E+001, 2.0000047E+001, 2.0000056E+001, 2.0000062E+001, 2.0000059E+001, 2.0000099E+001
 1.3009614E+001, 2.0000960E+001, 2.0000896E+001, 2.0000803E+001, 2.0000744E+001, 2.0000673E+001, 2.0000634E+001, 2.0000583E+001, 2.0000555E+001, 2.0000501E+001, 2.0000456E+001, 2.0000403E+001, 2.0000385E+001, 2.0000353E+001, 2.0000324E+001, 2.0000295E+001, 2.0000286E+001, 2.0000253E+001, 2.0000225E+001, 2.0000205E+001, 2.0000203E+001, 2.0000207E+001, 2.0000209E+001, 2.0000197E+001, 2.0000167E+001, 2.0000124E+001, 2.0000125E+001, 2.0000130E+001, 2.0000125E+001, 2.0000102E+001, 2.0000093E+001, 2.0000091E+001, 2.0000090E+001, 2.0000079E+001, 2.0000075E+001, 2.0000084E+001, 2.0000081E+001, 2.0000061E+001, 2.0000104E+001
 1.4012303E+001, 2.0001211E+001, 2.0001124E+001, 2.0001014E+001, 2.0000947E+001, 2.0000851E+001, 2.0000791E+001, 2.0000718E+001, 2.0000678E+001, 2.0000627E+001, 2.0000598E+001, 2.0000537E+001, 2.0000490E+001, 2.0000438E+001, 2.0000419E+001, 2.0000383E+001, 2.0000353E+001, 2.0000327E+001, 2.0000313E+001, 2.0000277E+001, 2.0000249E+001, 2.0000226E+001, 2.0000226E+001, 2.0000233E+001, 2.0000233E+001, 2.0000211E+001, 2.0000176E+001, 2.0000147E+001, 2.0000147E+001, 2.0000139E+001, 2.0000130E+001, 2.0000124E+001, 2.0000116E+001, 2.0000094E+001, 2.0000090E+001, 2.0000110E+001, 2.0000111E+001, 2.0000087E+001, 2.0000124E+001
 1.5000661E+001, 2.0001545E+001, 2.0001425E+001, 2.0001269E+001, 2.0001181E+001, 2.0001067E+001, 2.0000999E+001, 2.0000899E+001, 2.0000838E+001, 2.0000764E+001, 2.0000723E+001, 2.0000673E+001, 2.0000640E+001, 2.0000573E+001, 2.0000523E+001, 2.0000474E+001, 2.0000453E+001, 2.0000413E+001, 2.0000384E+001, 2.0000359E+001, 2.0000342E+001, 2.0000300E+001, 2.0000271E+001, 2.0000252E+001, 2.0000254E+001, 2.0000256E+001, 2.0000254E+001, 2.0000231E+001, 2.0000195E+001, 2.0000161E+001, 2.0000159E+001, 2.0000161E+001, 2.0000154E+001, 2.0000127E+001, 2.0000116E+001, 2.0000130E+001, 2.0000133E+001, 2.0000116E+001, 2.0000157E+001
 1.6005370E+001, 2.0001938E+001, 2.0001802E+001, 2.0001609E+001, 2.0001488E+001, 2.0001331E+001, 2.0001241E+001, 2.0001124E+001, 2.0001052E+001, 2.0000949E+001, 2.0000888E+001, 2.0000813E+001, 2.0000770E+001, 2.0000720E+001, 2.0000685E+001, 2.0000609E+001, 2.0000560E+001, 2.0000510E+001, 2.0000488E+001, 2.0000444E+001, 2.0000417E+001, 2.0000390E+001, 2.0000369E+001, 2.0000327E+001, 2.0000296E+001, 2.0000276E+001, 2.0000278E+001, 2.0000284E+001, 2.0000280E+001, 2.0000238E+001, 2.0000201E+001, 2.0000191E+001, 2.0000188E+001, 2.0000163E+001, 2.0000154E+001, 2.0000165E+001, 2.0000162E+001, 2.0000140E+001, 2.0000186E+001
 1.7003959E+001, 2.0002438E+001, 2.0002259E+001, 2.0002021E+001, 2.0001881E+001, 2.0001680E+001, 2.0001557E+001, 2.0001398E+001, 2.0001307E+001, 2.0001186E+001, 2.0001110E+001, 2.0001004E+001, 2.0000942E+001, 2.0000863E+001, 2.0000820E+001, 2.0000770E+001, 2.0000730E+001, 2.0000648E+001, 2.0000598E+001, 2.0000550E+001, 2.0000524E+001, 2.0000477E+001, 2.0000451E+001, 2.0000424E+001, 2.0000402E+001, 2.0000346E+001, 2.0000314E+001, 2.0000308E+001, 2.0000309E+001, 2.0000303E+001, 2.0000296E+001, 2.0000261E+001, 2.0000231E+001, 2.0000199E+001, 2.0000191E+001, 2.0000205E+001, 2.0000203E+001, 2.0000176E+001, 2.0000221E+001
 1.8005197E+001, 2.0003059E+001, 2.0002833E+001, 2.0002530E+001, 2.0002348E+001, 2.0002107E+001, 2.0001961E+001, 2.0001753E+001, 2.0001629E+001, 2.0001467E+001, 2.0001374E+001, 2.0001248E+001, 2.0001169E+001, 2.0001060E+001, 2.0000996E+001, 2.0000916E+001, 2.0000872E+001, 2.0000819E+001, 2.0000772E+001, 2.0000688E+001, 2.0000637E+001, 2.0000587E+001, 2.0000559E+001, 2.0000512E+001, 2.0000488E+001, 2.0000454E+001, 2.0000427E+001, 2.0000374E+001, 2.0000346E+001, 2.0000330E+001, 2.0000329E+001, 2.0000336E+001, 2.0000323E+001, 2.0000260E+001, 2.0000238E+001, 2.0000246E+001, 2.0000244E+001, 2.0000219E+001, 2.0000267E+001
 1.9011559E+001, 2.0003853E+001, 2.0003563E+001, 2.0003172E+001, 2.0002941E+001, 2.0002632E+001, 2.0002445E+001, 2.0002199E+001, 2.0002046E+001, 2.0001832E+001, 2.0001705E+001, 2.0001541E+001, 2.0001445E+001, 2.0001313E+001, 2.0001230E+001, 2.0001118E+001, 2.0001053E+001, 2.0000970E+001, 2.0000926E+001, 2.0000870E+001, 2.0000819E+001, 2.0000728E+001, 2.0000676E+001, 2.0000629E+001, 2.0000597E+001, 2.0000546E+001, 2.0000521E+001, 2.0000490E+001, 2.0000461E+001, 2.0000388E+001, 2.0000365E+001, 2.0000370E+001, 2.0000369E+001, 2.0000341E+001, 2.0000319E+001, 2.0000309E+001, 2.0000298E+001, 2.0000266E+001, 2.0000315E+001
 2.0001733E+001, 2.0004854E+001, 2.0004485E+001, 2.0003990E+001, 2.0003692E+001, 2.0003293E+001, 2.0003057E+001, 2.0002738E+001, 2.0002548E+001, 2.0002294E+001, 2.0002135E+001, 2.0001915E+001, 2.0001785E+001, 2.0001617E+001, 2.0001518E+001, 2.0001380E+001, 2.0001294E+001, 2.0001178E+001, 2.0001111E+001, 2.0001026E+001, 2.0000983E+001, 2.0000918E+001, 2.0000862E+001, 2.0000769E+001, 2.0000718E+001, 2.0000665E+001, 2.0000630E+001, 2.0000586E+001, 2.0000559E+001, 2.0000518E+001, 2.0000478E+001, 2.0000426E+001, 2.0000410E+001, 2.0000384E+001, 2.0000377E+001, 2.0000388E+001, 2.0000375E+001, 2.0000329E+001, 2.0000375E+001
 2.1012114E+001, 2.0006156E+001, 2.0005676E+001, 2.0005034E+001, 2.0004656E+001, 2.0004147E+001, 2.0003841E+001, 2.0003431E+001, 2.0003188E+001, 2.0002860E+001, 2.0002665E+001, 2.0002401E+001, 2.0002235E+001, 2.0002007E+001, 2.0001874E+001, 2.0001701E+001, 2.0001599E+001, 2.0001453E+001, 2.0001363E+001, 2.0001244E+001, 2.0001175E+001, 2.0001085E+001, 2.0001040E+001, 2.0000975E+001, 2.0000912E+001, 2.0000809E+001, 2.0000760E+001, 2.0000712E+001, 2.0000673E+001, 2.0000609E+001, 2.0000588E+001, 2.0000561E+001, 2.0000515E+001, 2.0000442E+001, 2.0000426E+001, 2.0000443E+001, 2.0000442E+001, 2.0000408E+001, 2.0000454E+001
