0,2.00E+01,2.00E+01,2.00E+01,2.00E+01
1,2.00E+01,2.00E+01,2.00E+01,2.00E+01
2,2.00E+01,2.01E+01,2.00E+01,2.00E+01
3,2.00E+01,2.02E+01,2.00E+01,2.00E+01
4,2.00E+01,2.06E+01,2.01E+01,2.00E+01
5,2.00E+01,2.14E+01,2.02E+01,2.00E+01
6,2.00E+01,2.22E+01,2.03E+01,2.00E+01
7,2.00E+01,2.05E+02,2.03E+01,2.00E+01
8,2.01E+01,5.80E+02,2.04E+01,2.00E+01
9,2.01E+01,6.43E+02,2.05E+01,2.00E+01
10,2.01E+01,4.29E+02,2.06E+01,2.00E+01
11,2.01E+01,4.93E+02,2.08E+01,2.00E+01
12,2.01E+01,4.29E+02,2.22E+02,2.00E+01
13,2.01E+01,4.54E+02,3.82E+02,2.00E+01
14,2.02E+01,5.11E+02,3.20E+02,2.00E+01
15,2.02E+01,4.26E+02,3.43E+02,2.00E+01
16,2.02E+01,4.46E+02,3.78E+02,2.00E+01
17,2.02E+01,4.94E+02,3.77E+02,2.00E+01
18,2.03E+01,4.16E+02,3.49E+02,2.00E+01
19,2.54E+01,7.06E+02,3.09E+02,2.01E+01
20,2.56E+02,7.36E+02,3.34E+02,2.01E+01
21,1.99E+02,6.17E+02,3.93E+02,2.01E+01
22,2.53E+02,5.54E+02,4.96E+02,2.01E+01
23,2.67E+02,6.02E+02,4.60E+02,2.01E+01
24,2.69E+02,5.37E+02,4.40E+02,2.01E+01
25,3.07E+02,5.77E+02,4.42E+02,2.02E+01
26,2.88E+02,5.83E+02,4.41E+02,1.75E+02
27,2.99E+02,5.77E+02,4.14E+02,2.54E+02
28,2.44E+02,6.40E+02,4.34E+02,2.30E+02
29,2.75E+02,5.81E+02,4.37E+02,2.00E+02
30,3.31E+02,6.54E+02,4.13E+02,2.40E+02
31,2.54E+02,6.43E+02,4.46E+02,2.34E+02
32,1.94E+02,4.25E+02,3.90E+02,2.25E+02
33,2.53E+02,5.13E+02,4.21E+02,2.48E+02
34,2.73E+02,5.84E+02,4.47E+02,2.93E+02
35,2.86E+02,5.68E+02,3.65E+02,2.82E+02
36,2.62E+02,5.95E+02,3.80E+02,2.46E+02
37,2.19E+02,3.62E+02,4.36E+02,2.61E+02
38,2.63E+02,5.31E+02,4.60E+02,2.57E+02
39,2.99E+02,6.34E+02,4.43E+02,2.46E+02
40,2.59E+02,7.15E+02,3.82E+02,2.37E+02
41,2.27E+02,6.83E+02,3.37E+02,2.29E+02
42,2.07E+02,5.36E+02,4.31E+02,2.81E+02
43,3.13E+02,6.16E+02,4.72E+02,2.53E+02
44,2.68E+02,4.52E+02,5.00E+02,2.42E+02
45,2.38E+02,3.94E+02,4.28E+02,2.38E+02
46,2.15E+02,4.99E+02,4.28E+02,2.27E+02
47,2.78E+02,4.75E+02,3.62E+02,2.60E+02
48,3.12E+02,5.93E+02,3.77E+02,2.46E+02
49,2.84E+02,5.27E+02,3.65E+02,2.31E+02
50,2.27E+02,5.74E+02,4.17E+02,2.59E+02
51,2.30E+02,7.06E+02,3.76E+02,2.62E+02
52,2.93E+02,5.69E+02,3.60E+02,3.03E+02
53,2.92E+02,7.44E+02,4.13E+02,3.26E+02
54,2.74E+02,5.45E+02,4.80E+02,2.95E+02
55,2.80E+02,5.49E+02,4.69E+02,2.35E+02
56,2.58E+02,5.94E+02,5.09E+02,1.77E+02
57,2.13E+02,5.86E+02,4.32E+02,1.30E+02
58,1.94E+02,5.67E+02,4.30E+02,1.91E+02
59,2.89E+02,4.82E+02,4.39E+02,2.58E+02
60,2.99E+02,4.84E+02,4.36E+02,2.77E+02
61,2.81E+02,6.36E+02,4.45E+02,2.69E+02
62,2.53E+02,5.65E+02,3.77E+02,2.64E+02
63,2.19E+02,5.71E+02,4.19E+02,2.84E+02
64,2.42E+02,5.27E+02,3.45E+02,3.09E+02
