s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0029307E+000, 2.0000006E+001, 2.0000004E+001, 2.0000000E+001, 1.9999990E+001, 2.0000001E+001, 1.9999998E+001, 1.9999999E+001, 1.9999999E+001, 1.9999999E+001, 2.0000005E+001, 1.9999999E+001, 2.0000009E+001, 2.0000006E+001, 1.9999999E+001, 2.0000005E+001, 2.0000003E+001, 1.9999997E+001, 2.0000003E+001, 2.0000004E+001, 2.0000005E+001, 1.9999999E+001, 2.0000007E+001, 2.0000007E+001, 1.9999997E+001, 2.0000004E+001, 1.9999996E+001, 2.0000002E+001, 1.9999995E+001, 2.0000006E+001, 1.9999994E+001, 2.0000004E+001, 2.0000002E+001, 2.0000005E+001, 1.9999991E+001, 2.0000005E+001, 1.9999997E+001, 1.9999997E+001, 2.0000004E+001
 2.0058675E+000, 2.0000009E+001, 2.0000012E+001, 2.0000011E+001, 2.0000006E+001, 1.9999993E+001, 2.0000003E+001, 2.0000010E+001, 2.0000004E+001, 2.0000000E+001, 2.0000001E+001, 2.0000004E+001, 2.0000002E+001, 2.0000009E+001, 2.0000008E+001, 2.0000000E+001, 1.9999996E+001, 2.0000002E+001, 2.0000000E+001, 2.0000010E+001, 2.0000008E+001, 2.0000002E+001, 1.9999999E+001, 2.0000003E+001, 2.0000001E+001, 1.9999998E+001, 2.0000002E+001, 1.9999996E+001, 2.0000002E+001, 2.0000000E+001, 2.0000007E+001, 2.0000004E+001, 2.0000003E+001, 2.0000000E+001, 2.0000002E+001, 1.9999994E+001, 2.0000001E+001, 2.0000002E+001, 1.9999998E+001
 3.0129193E+000, 2.0000151E+001, 2.0000142E+001, 2.0000128E+001, 2.0000122E+001, 2.0000105E+001, 2.0000085E+001, 2.0000066E+001, 2.0000073E+001, 2.0000070E+001, 2.0000057E+001, 2.0000045E+001, 2.0000047E+001, 2.0000039E+001, 2.0000042E+001, 2.0000043E+001, 2.0000042E+001, 2.0000020E+001, 2.0000019E+001, 2.0000019E+001, 2.0000023E+001, 2.0000029E+001, 2.0000026E+001, 2.0000015E+001, 2.0000014E+001, 2.0000016E+001, 2.0000010E+001, 2.0000009E+001, 2.0000007E+001, 2.0000006E+001, 2.0000007E+001, 2.0000012E+001, 2.0000015E+001, 2.0000012E+001, 2.0000010E+001, 2.0000008E+001, 2.0000002E+001, 2.0000001E+001, 2.0000009E+001
 4.0112158E+000, 2.0001635E+001, 2.0001522E+001, 2.0001378E+001, 2.0001285E+001, 2.0001161E+001, 2.0001085E+001, 2.0000971E+001, 2.0000886E+001, 2.0000791E+001, 2.0000750E+001, 2.0000676E+001, 2.0000620E+001, 2.0000552E+001, 2.0000515E+001, 2.0000464E+001, 2.0000435E+001, 2.0000399E+001, 2.0000369E+001, 2.0000313E+001, 2.0000288E+001, 2.0000261E+001, 2.0000250E+001, 2.0000232E+001, 2.0000213E+001, 2.0000182E+001, 2.0000168E+001, 2.0000153E+001, 2.0000135E+001, 2.0000121E+001, 2.0000110E+001, 2.0000099E+001, 2.0000091E+001, 2.0000092E+001, 2.0000087E+001, 2.0000079E+001, 2.0000072E+001, 2.0000058E+001, 2.0000058E+001
 5.0012686E+000, 2.0004986E+001, 2.0004693E+001, 2.0004273E+001, 2.0004015E+001, 2.0003665E+001, 2.0003447E+001, 2.0003143E+001, 2.0002956E+001, 2.0002677E+001, 2.0002495E+001, 2.0002264E+001, 2.0002134E+001, 2.0001939E+001, 2.0001807E+001, 2.0001633E+001, 2.0001530E+001, 2.0001387E+001, 2.0001303E+001, 2.0001191E+001, 2.0001106E+001, 2.0000982E+001, 2.0000914E+001, 2.0000830E+001, 2.0000785E+001, 2.0000717E+001, 2.0000665E+001, 2.0000590E+001, 2.0000553E+001, 2.0000493E+001, 2.0000455E+001, 2.0000408E+001, 2.0000382E+001, 2.0000340E+001, 2.0000314E+001, 2.0000300E+001, 2.0000287E+001, 2.0000249E+001, 2.0000244E+001
 6.0103664E+000, 2.0008169E+001, 2.0007705E+001, 2.0007065E+001, 2.0006667E+001, 2.0006097E+001, 2.0005745E+001, 2.0005262E+001, 2.0004962E+001, 2.0004541E+001, 2.0004277E+001, 2.0003891E+001, 2.0003642E+001, 2.0003317E+001, 2.0003130E+001, 2.0002852E+001, 2.0002668E+001, 2.0002422E+001, 2.0002272E+001, 2.0002067E+001, 2.0001946E+001, 2.0001777E+001, 2.0001655E+001, 2.0001483E+001, 2.0001384E+001, 2.0001260E+001, 2.0001191E+001, 2.0001086E+001, 2.0001011E+001, 2.0000906E+001, 2.0000847E+001, 2.0000758E+001, 2.0000704E+001, 2.0000634E+001, 2.0000593E+001, 2.0000534E+001, 2.0000501E+001, 2.0000462E+001, 2.0000452E+001
 7.0119451E+000, 2.0010932E+001, 2.0010344E+001, 2.0009507E+001, 2.0008983E+001, 2.0008255E+001, 2.0007801E+001, 2.0007153E+001, 2.0006752E+001, 2.0006200E+001, 2.0005857E+001, 2.0005375E+001, 2.0005071E+001, 2.0004625E+001, 2.0004342E+001, 2.0003968E+001, 2.0003748E+001, 2.0003423E+001, 2.0003213E+001, 2.0002924E+001, 2.0002750E+001, 2.0002509E+001, 2.0002368E+001, 2.0002163E+001, 2.0002021E+001, 2.0001820E+001, 2.0001702E+001, 2.0001556E+001, 2.0001472E+001, 2.0001345E+001, 2.0001254E+001, 2.0001133E+001, 2.0001060E+001, 2.0000948E+001, 2.0000883E+001, 2.0000810E+001, 2.0000761E+001, 2.0000665E+001, 2.0000655E+001
 8.0105378E+000, 2.0013607E+001, 2.0012875E+001, 2.0011854E+001, 2.0011218E+001, 2.0010316E+001, 2.0009752E+001, 2.0008967E+001, 2.0008475E+001, 2.0007778E+001, 2.0007346E+001, 2.0006750E+001, 2.0006382E+001, 2.0005863E+001, 2.0005533E+001, 2.0005049E+001, 2.0004746E+001, 2.0004344E+001, 2.0004103E+001, 2.0003751E+001, 2.0003525E+001, 2.0003212E+001, 2.0003022E+001, 2.0002762E+001, 2.0002609E+001, 2.0002383E+001, 2.0002230E+001, 2.0002012E+001, 2.0001884E+001, 2.0001724E+001, 2.0001633E+001, 2.0001496E+001, 2.0001396E+001, 2.0001259E+001, 2.0001175E+001, 2.0001069E+001, 2.0000993E+001, 2.0000893E+001, 2.0000860E+001
 9.0071241E+000, 2.0016403E+001, 2.0015536E+001, 2.0014306E+001, 2.0013538E+001, 2.0012466E+001, 2.0011796E+001, 2.0010850E+001, 2.0010260E+001, 2.0009435E+001, 2.0008917E+001, 2.0008187E+001, 2.0007735E+001, 2.0007110E+001, 2.0006725E+001, 2.0006182E+001, 2.0005833E+001, 2.0005325E+001, 2.0005009E+001, 2.0004589E+001, 2.0004333E+001, 2.0003964E+001, 2.0003728E+001, 2.0003399E+001, 2.0003198E+001, 2.0002927E+001, 2.0002765E+001, 2.0002526E+001, 2.0002365E+001, 2.0002134E+001, 2.0002000E+001, 2.0001840E+001, 2.0001748E+001, 2.0001586E+001, 2.0001483E+001, 2.0001359E+001, 2.0001269E+001, 2.0001107E+001, 2.0001071E+001
 1.0006604E+001, 2.0019466E+001, 2.0018442E+001, 2.0017003E+001, 2.0016103E+001, 2.0014828E+001, 2.0014034E+001, 2.0012925E+001, 2.0012232E+001, 2.0011254E+001, 2.0010646E+001, 2.0009792E+001, 2.0009256E+001, 2.0008502E+001, 2.0008035E+001, 2.0007391E+001, 2.0006994E+001, 2.0006432E+001, 2.0006069E+001, 2.0005543E+001, 2.0005218E+001, 2.0004784E+001, 2.0004519E+001, 2.0004137E+001, 2.0003893E+001, 2.0003551E+001, 2.0003343E+001, 2.0003064E+001, 2.0002896E+001, 2.0002642E+001, 2.0002474E+001, 2.0002241E+001, 2.0002106E+001, 2.0001932E+001, 2.0001831E+001, 2.0001686E+001, 2.0001581E+001, 2.0001404E+001, 2.0001338E+001
 1.1001972E+001, 2.0023122E+001, 2.0021903E+001, 2.0020201E+001, 2.0019140E+001, 2.0017650E+001, 2.0016715E+001, 2.0015393E+001, 2.0014573E+001, 2.0013426E+001, 2.0012707E+001, 2.0011698E+001, 2.0011069E+001, 2.0010184E+001, 2.0009628E+001, 2.0008849E+001, 2.0008367E+001, 2.0007702E+001, 2.0007292E+001, 2.0006708E+001, 2.0006330E+001, 2.0005785E+001, 2.0005452E+001, 2.0005002E+001, 2.0004726E+001, 2.0004328E+001, 2.0004076E+001, 2.0003722E+001, 2.0003506E+001, 2.0003215E+001, 2.0003037E+001, 2.0002781E+001, 2.0002605E+001, 2.0002352E+001, 2.0002212E+001, 2.0002060E+001, 2.0001954E+001, 2.0001746E+001, 2.0001671E+001
 1.2000916E+001, 2.0027501E+001, 2.0026037E+001, 2.0023991E+001, 2.0022724E+001, 2.0020955E+001, 2.0019855E+001, 2.0018310E+001, 2.0017338E+001, 2.0015970E+001, 2.0015122E+001, 2.0013935E+001, 2.0013192E+001, 2.0012151E+001, 2.0011502E+001, 2.0010587E+001, 2.0010012E+001, 2.0009207E+001, 2.0008711E+001, 2.0008025E+001, 2.0007602E+001, 2.0006998E+001, 2.0006604E+001, 2.0006042E+001, 2.0005700E+001, 2.0005234E+001, 2.0004946E+001, 2.0004537E+001, 2.0004277E+001, 2.0003906E+001, 2.0003682E+001, 2.0003392E+001, 2.0003208E+001, 2.0002918E+001, 2.0002735E+001, 2.0002508E+001, 2.0002359E+001, 2.0002162E+001, 2.0002071E+001
 1.3001142E+001, 2.0032722E+001, 2.0030960E+001, 2.0028503E+001, 2.0026978E+001, 2.0024851E+001, 2.0023536E+001, 2.0021703E+001, 2.0020566E+001, 2.0018967E+001, 2.0017961E+001, 2.0016550E+001, 2.0015677E+001, 2.0014454E+001, 2.0013690E+001, 2.0012620E+001, 2.0011953E+001, 2.0011010E+001, 2.0010418E+001, 2.0009592E+001, 2.0009082E+001, 2.0008379E+001, 2.0007944E+001, 2.0007319E+001, 2.0006912E+001, 2.0006333E+001, 2.0005981E+001, 2.0005503E+001, 2.0005206E+001, 2.0004777E+001, 2.0004506E+001, 2.0004132E+001, 2.0003905E+001, 2.0003585E+001, 2.0003390E+001, 2.0003123E+001, 2.0002943E+001, 2.0002617E+001, 2.0002520E+001
 1.4002629E+001, 2.0039618E+001, 2.0037429E+001, 2.0034394E+001, 2.0032522E+001, 2.0029917E+001, 2.0028305E+001, 2.0026064E+001, 2.0024681E+001, 2.0022757E+001, 2.0021568E+001, 2.0019892E+001, 2.0018841E+001, 2.0017371E+001, 2.0016462E+001, 2.0015189E+001, 2.0014396E+001, 2.0013287E+001, 2.0012594E+001, 2.0011614E+001, 2.0011000E+001, 2.0010142E+001, 2.0009614E+001, 2.0008887E+001, 2.0008435E+001, 2.0007779E+001, 2.0007353E+001, 2.0006756E+001, 2.0006393E+001, 2.0005889E+001, 2.0005576E+001, 2.0005140E+001, 2.0004857E+001, 2.0004447E+001, 2.0004208E+001, 2.0003910E+001, 2.0003712E+001, 2.0003369E+001, 2.0003181E+001
 1.5008285E+001, 2.0049220E+001, 2.0046384E+001, 2.0042474E+001, 2.0040078E+001, 2.0036765E+001, 2.0034728E+001, 2.0031902E+001, 2.0030159E+001, 2.0027747E+001, 2.0026262E+001, 2.0024205E+001, 2.0022935E+001, 2.0021150E+001, 2.0020033E+001, 2.0018480E+001, 2.0017520E+001, 2.0016178E+001, 2.0015344E+001, 2.0014181E+001, 2.0013454E+001, 2.0012425E+001, 2.0011782E+001, 2.0010885E+001, 2.0010334E+001, 2.0009571E+001, 2.0009096E+001, 2.0008407E+001, 2.0007959E+001, 2.0007330E+001, 2.0006949E+001, 2.0006432E+001, 2.0006104E+001, 2.0005618E+001, 2.0005317E+001, 2.0004928E+001, 2.0004687E+001, 2.0004307E+001, 2.0004098E+001
 1.6005107E+001, 2.0063167E+001, 2.0059384E+001, 2.0054161E+001, 2.0050955E+001, 2.0046548E+001, 2.0043855E+001, 2.0040143E+001, 2.0037865E+001, 2.0034716E+001, 2.0032784E+001, 2.0030118E+001, 2.0028482E+001, 2.0026227E+001, 2.0024838E+001, 2.0022890E+001, 2.0021678E+001, 2.0019998E+001, 2.0018964E+001, 2.0017522E+001, 2.0016629E+001, 2.0015384E+001, 2.0014607E+001, 2.0013512E+001, 2.0012827E+001, 2.0011871E+001, 2.0011287E+001, 2.0010485E+001, 2.0009980E+001, 2.0009230E+001, 2.0008754E+001, 2.0008108E+001, 2.0007707E+001, 2.0007128E+001, 2.0006775E+001, 2.0006304E+001, 2.0005994E+001, 2.0005514E+001, 2.0005259E+001
 1.7001204E+001, 2.0084926E+001, 2.0079547E+001, 2.0072190E+001, 2.0067717E+001, 2.0061561E+001, 2.0057803E+001, 2.0052656E+001, 2.0049519E+001, 2.0045209E+001, 2.0042573E+001, 2.0038941E+001, 2.0036723E+001, 2.0033670E+001, 2.0031805E+001, 2.0029243E+001, 2.0027668E+001, 2.0025467E+001, 2.0024107E+001, 2.0022230E+001, 2.0021076E+001, 2.0019472E+001, 2.0018485E+001, 2.0017113E+001, 2.0016256E+001, 2.0015050E+001, 2.0014300E+001, 2.0013262E+001, 2.0012628E+001, 2.0011745E+001, 2.0011188E+001, 2.0010386E+001, 2.0009875E+001, 2.0009149E+001, 2.0008713E+001, 2.0008137E+001, 2.0007766E+001, 2.0007196E+001, 2.0006848E+001
 1.8006758E+001, 2.0119988E+001, 2.0111859E+001, 2.0100836E+001, 2.0094181E+001, 2.0085136E+001, 2.0079662E+001, 2.0072169E+001, 2.0067621E+001, 2.0061413E+001, 2.0057644E+001, 2.0052479E+001, 2.0049328E+001, 2.0045000E+001, 2.0042363E+001, 2.0038744E+001, 2.0036538E+001, 2.0033513E+001, 2.0031654E+001, 2.0029071E+001, 2.0027481E+001, 2.0025293E+001, 2.0023952E+001, 2.0022098E+001, 2.0020961E+001, 2.0019380E+001, 2.0018400E+001, 2.0017031E+001, 2.0016182E+001, 2.0015003E+001, 2.0014291E+001, 2.0013322E+001, 2.0012696E+001, 2.0011767E+001, 2.0011202E+001, 2.0010465E+001, 2.0009998E+001, 2.0009317E+001, 2.0008915E+001
 1.9009903E+001, 2.0175630E+001, 2.0162680E+001, 2.0145325E+001, 2.0134982E+001, 2.0121061E+001, 2.0112716E+001, 2.0101450E+001, 2.0094666E+001, 2.0085436E+001, 2.0079865E+001, 2.0072291E+001, 2.0067710E+001, 2.0061451E+001, 2.0057643E+001, 2.0052430E+001, 2.0049262E+001, 2.0044920E+001, 2.0042280E+001, 2.0038665E+001, 2.0036446E+001, 2.0033371E+001, 2.0031486E+001, 2.0028902E+001, 2.0027320E+001, 2.0025138E+001, 2.0023806E+001, 2.0021967E+001, 2.0020830E+001, 2.0019238E+001, 2.0018260E+001, 2.0016936E+001, 2.0016132E+001, 2.0014994E+001, 2.0014279E+001, 2.0013305E+001, 2.0012697E+001, 2.0011839E+001, 2.0011400E+001
 2.0011738E+001, 2.0266721E+001, 2.0244939E+001, 2.0216197E+001, 2.0199291E+001, 2.0176835E+001, 2.0163570E+001, 2.0145851E+001, 2.0135312E+001, 2.0121177E+001, 2.0112715E+001, 2.0101279E+001, 2.0094416E+001, 2.0085133E+001, 2.0079544E+001, 2.0071938E+001, 2.0067329E+001, 2.0061046E+001, 2.0057241E+001, 2.0052043E+001, 2.0048893E+001, 2.0044582E+001, 2.0041945E+001, 2.0038303E+001, 2.0036079E+001, 2.0033029E+001, 2.0031168E+001, 2.0028618E+001, 2.0027059E+001, 2.0024903E+001, 2.0023579E+001, 2.0021754E+001, 2.0020633E+001, 2.0019087E+001, 2.0018165E+001, 2.0016928E+001, 2.0016128E+001, 2.0014989E+001, 2.0014398E+001
 2.1003044E+001, 2.0423846E+001, 2.0386179E+001, 2.0336337E+001, 2.0307233E+001, 2.0268961E+001, 2.0246598E+001, 2.0217134E+001, 2.0199880E+001, 2.0177020E+001, 2.0163542E+001, 2.0145596E+001, 2.0134931E+001, 2.0120621E+001, 2.0112091E+001, 2.0100623E+001, 2.0093756E+001, 2.0084454E+001, 2.0078850E+001, 2.0071248E+001, 2.0066663E+001, 2.0060424E+001, 2.0056660E+001, 2.0051526E+001, 2.0048392E+001, 2.0044077E+001, 2.0041455E+001, 2.0037875E+001, 2.0035692E+001, 2.0032693E+001, 2.0030871E+001, 2.0028376E+001, 2.0026842E+001, 2.0024694E+001, 2.0023400E+001, 2.0021691E+001, 2.0020654E+001, 2.0019177E+001, 2.0018365E+001
