s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0094469E+000, 2.0000021E+001, 2.0000009E+001, 2.0000004E+001, 2.0000006E+001, 2.0000016E+001, 2.0000007E+001, 2.0000009E+001, 2.0000009E+001, 1.9999995E+001, 1.9999997E+001, 2.0000012E+001, 2.0000003E+001, 2.0000000E+001, 2.0000006E+001, 1.9999997E+001, 2.0000005E+001, 1.9999997E+001, 2.0000013E+001, 1.9999994E+001, 2.0000008E+001, 2.0000001E+001, 1.9999986E+001, 2.0000009E+001, 2.0000001E+001, 1.9999996E+001, 1.9999997E+001, 1.9999995E+001, 1.9999996E+001, 1.9999999E+001, 2.0000005E+001, 2.0000000E+001, 2.0000006E+001, 2.0000006E+001, 2.0000004E+001, 2.0000001E+001, 1.9999990E+001, 2.0000001E+001, 1.9999999E+001
 2.0004288E+000, 2.0000312E+001, 2.0000288E+001, 2.0000248E+001, 2.0000211E+001, 2.0000175E+001, 2.0000161E+001, 2.0000141E+001, 2.0000122E+001, 2.0000106E+001, 2.0000090E+001, 2.0000066E+001, 2.0000070E+001, 2.0000063E+001, 2.0000053E+001, 2.0000046E+001, 2.0000040E+001, 2.0000039E+001, 2.0000028E+001, 2.0000035E+001, 2.0000028E+001, 2.0000025E+001, 2.0000028E+001, 2.0000010E+001, 2.0000015E+001, 2.0000019E+001, 2.0000012E+001, 2.0000010E+001, 2.0000014E+001, 2.0000011E+001, 2.0000007E+001, 2.0000012E+001, 2.0000011E+001, 2.0000012E+001, 2.0000015E+001, 2.0000013E+001, 2.0000010E+001, 1.9999996E+001, 2.0000006E+001
 3.0099933E+000, 2.0004834E+001, 2.0004447E+001, 2.0003924E+001, 2.0003623E+001, 2.0003199E+001, 2.0002936E+001, 2.0002590E+001, 2.0002389E+001, 2.0002109E+001, 2.0001939E+001, 2.0001715E+001, 2.0001568E+001, 2.0001378E+001, 2.0001274E+001, 2.0001128E+001, 2.0001035E+001, 2.0000911E+001, 2.0000842E+001, 2.0000741E+001, 2.0000679E+001, 2.0000608E+001, 2.0000556E+001, 2.0000496E+001, 2.0000456E+001, 2.0000392E+001, 2.0000365E+001, 2.0000325E+001, 2.0000291E+001, 2.0000263E+001, 2.0000247E+001, 2.0000215E+001, 2.0000198E+001, 2.0000179E+001, 2.0000169E+001, 2.0000155E+001, 2.0000149E+001, 2.0000128E+001, 2.0000111E+001
 4.0021958E+000, 2.0024888E+001, 2.0023366E+001, 2.0021273E+001, 2.0019985E+001, 2.0018204E+001, 2.0017117E+001, 2.0015607E+001, 2.0014667E+001, 2.0013372E+001, 2.0012583E+001, 2.0011481E+001, 2.0010799E+001, 2.0009854E+001, 2.0009258E+001, 2.0008440E+001, 2.0007948E+001, 2.0007254E+001, 2.0006820E+001, 2.0006219E+001, 2.0005852E+001, 2.0005328E+001, 2.0005011E+001, 2.0004572E+001, 2.0004295E+001, 2.0003922E+001, 2.0003679E+001, 2.0003339E+001, 2.0003143E+001, 2.0002860E+001, 2.0002680E+001, 2.0002446E+001, 2.0002302E+001, 2.0002091E+001, 2.0001963E+001, 2.0001798E+001, 2.0001694E+001, 2.0001554E+001, 2.0001471E+001
 5.0080760E+000, 2.0056349E+001, 2.0053061E+001, 2.0048533E+001, 2.0045758E+001, 2.0041931E+001, 2.0039576E+001, 2.0036314E+001, 2.0034312E+001, 2.0031525E+001, 2.0029794E+001, 2.0027390E+001, 2.0025911E+001, 2.0023844E+001, 2.0022561E+001, 2.0020764E+001, 2.0019638E+001, 2.0018071E+001, 2.0017107E+001, 2.0015756E+001, 2.0014908E+001, 2.0013721E+001, 2.0012983E+001, 2.0011941E+001, 2.0011298E+001, 2.0010396E+001, 2.0009832E+001, 2.0009046E+001, 2.0008547E+001, 2.0007846E+001, 2.0007419E+001, 2.0006816E+001, 2.0006439E+001, 2.0005921E+001, 2.0005600E+001, 2.0005150E+001, 2.0004876E+001, 2.0004503E+001, 2.0004298E+001
 6.0058737E+000, 2.0080441E+001, 2.0075645E+001, 2.0069048E+001, 2.0065017E+001, 2.0059468E+001, 2.0056075E+001, 2.0051396E+001, 2.0048519E+001, 2.0044542E+001, 2.0042102E+001, 2.0038710E+001, 2.0036607E+001, 2.0033685E+001, 2.0031887E+001, 2.0029379E+001, 2.0027824E+001, 2.0025642E+001, 2.0024278E+001, 2.0022378E+001, 2.0021206E+001, 2.0019566E+001, 2.0018537E+001, 2.0017096E+001, 2.0016196E+001, 2.0014931E+001, 2.0014147E+001, 2.0013044E+001, 2.0012358E+001, 2.0011393E+001, 2.0010783E+001, 2.0009927E+001, 2.0009401E+001, 2.0008659E+001, 2.0008198E+001, 2.0007569E+001, 2.0007178E+001, 2.0006623E+001, 2.0006310E+001
 7.0048207E+000, 2.0102248E+001, 2.0095964E+001, 2.0087348E+001, 2.0082093E+001, 2.0074869E+001, 2.0070457E+001, 2.0064388E+001, 2.0060683E+001, 2.0055576E+001, 2.0052440E+001, 2.0048113E+001, 2.0045462E+001, 2.0041781E+001, 2.0039502E+001, 2.0036342E+001, 2.0034396E+001, 2.0031692E+001, 2.0030017E+001, 2.0027666E+001, 2.0026200E+001, 2.0024161E+001, 2.0022903E+001, 2.0021141E+001, 2.0020040E+001, 2.0018497E+001, 2.0017532E+001, 2.0016179E+001, 2.0015339E+001, 2.0014157E+001, 2.0013423E+001, 2.0012390E+001, 2.0011737E+001, 2.0010820E+001, 2.0010253E+001, 2.0009469E+001, 2.0008984E+001, 2.0008304E+001, 2.0007917E+001
 8.0071138E+000, 2.0128608E+001, 2.0120477E+001, 2.0109345E+001, 2.0102571E+001, 2.0093285E+001, 2.0087621E+001, 2.0079833E+001, 2.0075075E+001, 2.0068534E+001, 2.0064544E+001, 2.0059044E+001, 2.0055669E+001, 2.0051021E+001, 2.0048175E+001, 2.0044227E+001, 2.0041788E+001, 2.0038411E+001, 2.0036334E+001, 2.0033456E+001, 2.0031675E+001, 2.0029178E+001, 2.0027627E+001, 2.0025472E+001, 2.0024142E+001, 2.0022282E+001, 2.0021125E+001, 2.0019503E+001, 2.0018489E+001, 2.0017071E+001, 2.0016189E+001, 2.0014955E+001, 2.0014188E+001, 2.0013101E+001, 2.0012420E+001, 2.0011479E+001, 2.0010891E+001, 2.0010066E+001, 2.0009607E+001
 9.0050331E+000, 2.0164266E+001, 2.0153578E+001, 2.0138965E+001, 2.0130084E+001, 2.0117927E+001, 2.0110534E+001, 2.0100409E+001, 2.0094237E+001, 2.0085755E+001, 2.0080574E+001, 2.0073461E+001, 2.0069124E+001, 2.0063149E+001, 2.0059489E+001, 2.0054454E+001, 2.0051374E+001, 2.0047105E+001, 2.0044476E+001, 2.0040837E+001, 2.0038603E+001, 2.0035516E+001, 2.0033607E+001, 2.0030935E+001, 2.0029281E+001, 2.0026987E+001, 2.0025571E+001, 2.0023595E+001, 2.0022371E+001, 2.0020651E+001, 2.0019580E+001, 2.0018088E+001, 2.0017158E+001, 2.0015854E+001, 2.0015047E+001, 2.0013922E+001, 2.0013216E+001, 2.0012216E+001, 2.0011655E+001
 1.0003690E+001, 2.0208556E+001, 2.0194594E+001, 2.0175557E+001, 2.0164025E+001, 2.0148276E+001, 2.0138713E+001, 2.0125627E+001, 2.0117678E+001, 2.0106795E+001, 2.0100168E+001, 2.0091063E+001, 2.0085504E+001, 2.0077883E+001, 2.0073236E+001, 2.0066837E+001, 2.0062923E+001, 2.0057544E+001, 2.0054253E+001, 2.0049698E+001, 2.0046896E+001, 2.0043023E+001, 2.0040648E+001, 2.0037370E+001, 2.0035344E+001, 2.0032514E+001, 2.0030767E+001, 2.0028347E+001, 2.0026853E+001, 2.0024770E+001, 2.0023482E+001, 2.0021681E+001, 2.0020560E+001, 2.0018989E+001, 2.0018016E+001, 2.0016681E+001, 2.0015845E+001, 2.0014654E+001, 2.0013992E+001
 1.1000641E+001, 2.0265605E+001, 2.0247233E+001, 2.0222289E+001, 2.0207218E+001, 2.0186711E+001, 2.0174305E+001, 2.0157391E+001, 2.0147130E+001, 2.0133104E+001, 2.0124592E+001, 2.0112950E+001, 2.0105867E+001, 2.0096141E+001, 2.0090212E+001, 2.0082089E+001, 2.0077137E+001, 2.0070325E+001, 2.0066163E+001, 2.0060450E+001, 2.0056955E+001, 2.0052123E+001, 2.0049156E+001, 2.0045057E+001, 2.0042550E+001, 2.0039088E+001, 2.0036950E+001, 2.0033975E+001, 2.0032141E+001, 2.0029598E+001, 2.0028030E+001, 2.0025860E+001, 2.0024515E+001, 2.0022625E+001, 2.0021460E+001, 2.0019853E+001, 2.0018854E+001, 2.0017450E+001, 2.0016668E+001
 1.2011126E+001, 2.0344300E+001, 2.0319456E+001, 2.0285891E+001, 2.0265745E+001, 2.0238453E+001, 2.0222012E+001, 2.0199692E+001, 2.0186223E+001, 2.0167898E+001, 2.0156799E+001, 2.0141655E+001, 2.0132478E+001, 2.0119946E+001, 2.0112330E+001, 2.0101884E+001, 2.0095528E+001, 2.0086827E+001, 2.0081528E+001, 2.0074244E+001, 2.0069804E+001, 2.0063710E+001, 2.0059984E+001, 2.0054843E+001, 2.0051689E+001, 2.0047337E+001, 2.0044681E+001, 2.0041018E+001, 2.0038757E+001, 2.0035612E+001, 2.0033682E+001, 2.0031015E+001, 2.0029368E+001, 2.0027079E+001, 2.0025671E+001, 2.0023732E+001, 2.0022529E+001, 2.0020832E+001, 2.0019901E+001
 1.3004519E+001, 2.0453720E+001, 2.0419895E+001, 2.0373947E+001, 2.0346329E+001, 2.0309066E+001, 2.0286745E+001, 2.0256590E+001, 2.0238486E+001, 2.0213988E+001, 2.0199257E+001, 2.0179266E+001, 2.0167192E+001, 2.0150760E+001, 2.0140824E+001, 2.0127287E+001, 2.0119074E+001, 2.0107831E+001, 2.0101006E+001, 2.0091676E+001, 2.0085998E+001, 2.0078209E+001, 2.0073470E+001, 2.0066974E+001, 2.0063005E+001, 2.0057536E+001, 2.0054185E+001, 2.0049580E+001, 2.0046771E+001, 2.0042890E+001, 2.0040503E+001, 2.0037206E+001, 2.0035181E+001, 2.0032364E+001, 2.0030641E+001, 2.0028293E+001, 2.0026836E+001, 2.0024798E+001, 2.0023679E+001
 1.4006299E+001, 2.0592242E+001, 2.0552002E+001, 2.0494421E+001, 2.0458335E+001, 2.0408221E+001, 2.0377681E+001, 2.0336231E+001, 2.0311340E+001, 2.0277748E+001, 2.0257628E+001, 2.0230493E+001, 2.0214232E+001, 2.0192238E+001, 2.0178999E+001, 2.0161036E+001, 2.0150207E+001, 2.0135492E+001, 2.0126580E+001, 2.0114422E+001, 2.0107058E+001, 2.0097009E+001, 2.0090903E+001, 2.0082550E+001, 2.0077476E+001, 2.0070525E+001, 2.0066288E+001, 2.0060464E+001, 2.0056898E+001, 2.0052000E+001, 2.0049020E+001, 2.0044922E+001, 2.0042399E+001, 2.0038906E+001, 2.0036774E+001, 2.0033860E+001, 2.0032076E+001, 2.0029591E+001, 2.0028235E+001
 1.5003047E+001, 2.0733094E+001, 2.0692581E+001, 2.0632963E+001, 2.0594016E+001, 2.0537131E+001, 2.0500532E+001, 2.0448123E+001, 2.0415272E+001, 2.0369653E+001, 2.0341842E+001, 2.0304069E+001, 2.0281402E+001, 2.0250884E+001, 2.0232649E+001, 2.0208073E+001, 2.0193341E+001, 2.0173433E+001, 2.0161482E+001, 2.0145296E+001, 2.0135526E+001, 2.0122244E+001, 2.0114227E+001, 2.0103316E+001, 2.0096701E+001, 2.0087670E+001, 2.0082202E+001, 2.0074730E+001, 2.0070180E+001, 2.0063923E+001, 2.0060108E+001, 2.0054900E+001, 2.0051725E+001, 2.0047335E+001, 2.0044655E+001, 2.0041013E+001, 2.0038777E+001, 2.0035678E+001, 2.0034011E+001
 1.6005032E+001, 2.0874879E+001, 2.0830957E+001, 2.0769912E+001, 2.0731409E+001, 2.0675403E+001, 2.0638758E+001, 2.0584301E+001, 2.0548583E+001, 2.0496139E+001, 2.0462259E+001, 2.0413688E+001, 2.0383165E+001, 2.0340630E+001, 2.0314684E+001, 2.0279500E+001, 2.0258431E+001, 2.0230087E+001, 2.0213164E+001, 2.0190413E+001, 2.0176832E+001, 2.0158514E+001, 2.0147520E+001, 2.0132654E+001, 2.0123722E+001, 2.0111599E+001, 2.0104281E+001, 2.0094344E+001, 2.0088339E+001, 2.0080141E+001, 2.0075173E+001, 2.0068380E+001, 2.0064243E+001, 2.0058575E+001, 2.0055145E+001, 2.0050473E+001, 2.0047623E+001, 2.0043701E+001, 2.0041587E+001
 1.7012827E+001, 2.1073493E+001, 2.1014807E+001, 2.0935798E+001, 2.0888382E+001, 2.0823363E+001, 2.0783240E+001, 2.0726864E+001, 2.0690919E+001, 2.0638651E+001, 2.0604382E+001, 2.0553229E+001, 2.0519403E+001, 2.0469447E+001, 2.0437033E+001, 2.0390501E+001, 2.0361274E+001, 2.0320601E+001, 2.0295794E+001, 2.0262142E+001, 2.0242001E+001, 2.0214997E+001, 2.0198954E+001, 2.0177443E+001, 2.0164613E+001, 2.0147373E+001, 2.0137080E+001, 2.0123202E+001, 2.0114863E+001, 2.0103576E+001, 2.0096795E+001, 2.0087609E+001, 2.0082047E+001, 2.0074430E+001, 2.0069837E+001, 2.0063641E+001, 2.0059890E+001, 2.0054740E+001, 2.0052004E+001
 1.8002968E+001, 2.1308916E+001, 2.1244283E+001, 2.1152276E+001, 2.1094118E+001, 2.1012347E+001, 2.0961493E+001, 2.0891647E+001, 2.0849074E+001, 2.0790835E+001, 2.0755015E+001, 2.0703827E+001, 2.0670372E+001, 2.0620316E+001, 2.0586864E+001, 2.0536486E+001, 2.0503000E+001, 2.0453593E+001, 2.0421568E+001, 2.0375667E+001, 2.0346925E+001, 2.0307012E+001, 2.0282686E+001, 2.0249831E+001, 2.0230235E+001, 2.0204016E+001, 2.0188476E+001, 2.0167767E+001, 2.0155483E+001, 2.0139004E+001, 2.0129193E+001, 2.0116043E+001, 2.0108170E+001, 2.0097519E+001, 2.0091135E+001, 2.0082532E+001, 2.0077357E+001, 2.0070380E+001, 2.0066699E+001
 1.9002779E+001, 2.1558796E+001, 2.1482996E+001, 2.1377508E+001, 2.1312986E+001, 2.1222857E+001, 2.1166798E+001, 2.1086586E+001, 2.1036521E+001, 2.0967572E+001, 2.0926063E+001, 2.0869829E+001, 2.0835245E+001, 2.0785424E+001, 2.0752664E+001, 2.0702940E+001, 2.0669213E+001, 2.0617761E+001, 2.0583263E+001, 2.0531424E+001, 2.0497214E+001, 2.0446971E+001, 2.0414558E+001, 2.0368221E+001, 2.0339378E+001, 2.0299439E+001, 2.0275193E+001, 2.0242427E+001, 2.0222935E+001, 2.0196988E+001, 2.0181701E+001, 2.0161405E+001, 2.0149403E+001, 2.0133380E+001, 2.0123913E+001, 2.0111318E+001, 2.0103804E+001, 2.0093737E+001, 2.0088503E+001
 2.0008560E+001, 2.1971766E+001, 2.1865789E+001, 2.1720371E+001, 2.1630707E+001, 2.1508891E+001, 2.1434043E+001, 2.1332310E+001, 2.1270287E+001, 2.1184844E+001, 2.1133191E+001, 2.1062520E+001, 2.1019334E+001, 2.0960528E+001, 2.0924420E+001, 2.0873853E+001, 2.0841530E+001, 2.0793368E+001, 2.0760807E+001, 2.0710719E+001, 2.0676451E+001, 2.0624020E+001, 2.0588679E+001, 2.0535898E+001, 2.0501098E+001, 2.0449413E+001, 2.0416315E+001, 2.0369151E+001, 2.0339617E+001, 2.0298766E+001, 2.0274060E+001, 2.0240828E+001, 2.0221087E+001, 2.0194817E+001, 2.0179430E+001, 2.0159201E+001, 2.0147337E+001, 2.0131702E+001, 2.0123661E+001
 2.1005837E+001, 2.2523692E+001, 2.2408613E+001, 2.2239008E+001, 2.2129704E+001, 2.1972017E+001, 2.1872794E+001, 2.1732041E+001, 2.1644522E+001, 2.1520927E+001, 2.1444217E+001, 2.1337247E+001, 2.1272617E+001, 2.1184175E+001, 2.1130966E+001, 2.1059310E+001, 2.1018084E+001, 2.0964813E+001, 2.0932983E+001, 2.0886991E+001, 2.0855896E+001, 2.0807588E+001, 2.0774267E+001, 2.0722870E+001, 2.0687850E+001, 2.0634883E+001, 2.0599397E+001, 2.0546349E+001, 2.0511051E+001, 2.0458505E+001, 2.0424684E+001, 2.0376595E+001, 2.0346268E+001, 2.0304291E+001, 2.0278948E+001, 2.0244951E+001, 2.0224817E+001, 2.0198358E+001, 2.0184872E+001
