s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0216870E+000, 1.9999997E+001, 2.0000002E+001, 2.0000004E+001, 2.0000003E+001, 1.9999999E+001, 2.0000002E+001, 2.0000004E+001, 1.9999997E+001, 2.0000001E+001, 1.9999999E+001, 2.0000000E+001, 1.9999998E+001, 2.0000003E+001, 1.9999999E+001, 2.0000002E+001, 2.0000002E+001, 2.0000001E+001, 1.9999997E+001, 2.0000001E+001, 1.9999998E+001, 1.9999998E+001, 2.0000001E+001, 1.9999998E+001, 1.9999996E+001, 2.0000003E+001, 2.0000000E+001, 2.0000002E+001, 1.9999997E+001, 1.9999998E+001, 2.0000002E+001, 2.0000002E+001, 1.9999996E+001, 1.9999998E+001, 2.0000001E+001, 2.0000003E+001, 1.9999999E+001, 1.9999998E+001, 1.9999999E+001
 2.0204959E+000, 2.0000001E+001, 1.9999998E+001, 1.9999998E+001, 2.0000001E+001, 2.0000003E+001, 2.0000003E+001, 2.0000002E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 1.9999999E+001, 1.9999998E+001, 1.9999998E+001, 1.9999999E+001, 2.0000002E+001, 2.0000003E+001, 2.0000004E+001, 2.0000002E+001, 2.0000000E+001, 1.9999999E+001, 1.9999999E+001, 1.9999999E+001, 1.9999999E+001, 1.9999999E+001, 1.9999998E+001, 1.9999998E+001, 2.0000000E+001, 2.0000002E+001, 2.0000002E+001, 1.9999998E+001, 2.0000000E+001, 2.0000001E+001, 2.0000003E+001, 2.0000001E+001, 2.0000001E+001, 2.0000001E+001, 2.0000001E+001, 2.0000003E+001
 3.0008508E+000, 2.0000003E+001, 2.0000007E+001, 2.0000006E+001, 2.0000005E+001, 2.0000001E+001, 1.9999998E+001, 2.0000000E+001, 2.0000003E+001, 2.0000005E+001, 2.0000005E+001, 2.0000004E+001, 2.0000002E+001, 2.0000002E+001, 2.0000001E+001, 1.9999998E+001, 1.9999997E+001, 1.9999999E+001, 2.0000002E+001, 2.0000005E+001, 2.0000005E+001, 2.0000004E+001, 2.0000003E+001, 1.9999999E+001, 1.9999998E+001, 1.9999998E+001, 1.9999999E+001, 1.9999999E+001, 1.9999998E+001, 1.9999998E+001, 2.0000000E+001, 2.0000002E+001, 2.0000004E+001, 1.9999999E+001, 1.9999998E+001, 2.0000004E+001, 2.0000007E+001, 2.0000003E+001, 2.0000011E+001
 4.0055899E+000, 2.0000003E+001, 2.0000001E+001, 2.0000002E+001, 2.0000003E+001, 2.0000007E+001, 2.0000009E+001, 2.0000009E+001, 2.0000007E+001, 2.0000001E+001, 1.9999998E+001, 2.0000001E+001, 2.0000004E+001, 2.0000006E+001, 2.0000007E+001, 2.0000005E+001, 2.0000004E+001, 2.0000003E+001, 2.0000001E+001, 1.9999998E+001, 1.9999997E+001, 2.0000000E+001, 2.0000003E+001, 2.0000006E+001, 2.0000007E+001, 2.0000005E+001, 2.0000002E+001, 1.9999999E+001, 1.9999998E+001, 1.9999997E+001, 1.9999998E+001, 1.9999999E+001, 1.9999999E+001, 1.9999997E+001, 1.9999998E+001, 2.0000008E+001, 2.0000010E+001, 2.0000001E+001, 2.0000018E+001
 5.0075699E+000, 2.0000009E+001, 2.0000006E+001, 2.0000003E+001, 2.0000003E+001, 2.0000003E+001, 2.0000003E+001, 2.0000003E+001, 2.0000004E+001, 2.0000009E+001, 2.0000011E+001, 2.0000010E+001, 2.0000007E+001, 2.0000000E+001, 1.9999997E+001, 2.0000002E+001, 2.0000005E+001, 2.0000008E+001, 2.0000008E+001, 2.0000006E+001, 2.0000005E+001, 2.0000004E+001, 2.0000002E+001, 1.9999998E+001, 1.9999998E+001, 2.0000001E+001, 2.0000004E+001, 2.0000009E+001, 2.0000009E+001, 2.0000003E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9999994E+001, 1.9999994E+001, 2.0000006E+001, 2.0000009E+001, 2.0000002E+001, 2.0000026E+001
 6.0032463E+000, 2.0000013E+001, 2.0000016E+001, 2.0000018E+001, 2.0000016E+001, 2.0000011E+001, 2.0000007E+001, 2.0000005E+001, 2.0000004E+001, 2.0000003E+001, 2.0000003E+001, 2.0000004E+001, 2.0000006E+001, 2.0000010E+001, 2.0000012E+001, 2.0000011E+001, 2.0000007E+001, 2.0000000E+001, 1.9999998E+001, 2.0000002E+001, 2.0000006E+001, 2.0000008E+001, 2.0000008E+001, 2.0000007E+001, 2.0000006E+001, 2.0000003E+001, 2.0000000E+001, 1.9999999E+001, 2.0000000E+001, 2.0000001E+001, 2.0000004E+001, 2.0000011E+001, 2.0000011E+001, 1.9999999E+001, 1.9999996E+001, 2.0000008E+001, 2.0000011E+001, 2.0000002E+001, 2.0000031E+001
 7.0124541E+000, 2.0000012E+001, 2.0000012E+001, 2.0000012E+001, 2.0000012E+001, 2.0000016E+001, 2.0000019E+001, 2.0000019E+001, 2.0000017E+001, 2.0000012E+001, 2.0000009E+001, 2.0000006E+001, 2.0000004E+001, 2.0000003E+001, 2.0000004E+001, 2.0000006E+001, 2.0000008E+001, 2.0000012E+001, 2.0000013E+001, 2.0000012E+001, 2.0000007E+001, 1.9999999E+001, 1.9999997E+001, 2.0000004E+001, 2.0000007E+001, 2.0000008E+001, 2.0000007E+001, 2.0000009E+001, 2.0000008E+001, 2.0000001E+001, 1.9999998E+001, 2.0000004E+001, 2.0000006E+001, 1.9999999E+001, 2.0000000E+001, 2.0000019E+001, 2.0000022E+001, 2.0000009E+001, 2.0000042E+001
 8.0168826E+000, 2.0000025E+001, 2.0000021E+001, 2.0000016E+001, 2.0000014E+001, 2.0000013E+001, 2.0000014E+001, 2.0000014E+001, 2.0000014E+001, 2.0000018E+001, 2.0000020E+001, 2.0000021E+001, 2.0000018E+001, 2.0000013E+001, 2.0000010E+001, 2.0000006E+001, 2.0000004E+001, 2.0000004E+001, 2.0000005E+001, 2.0000008E+001, 2.0000010E+001, 2.0000013E+001, 2.0000014E+001, 2.0000012E+001, 2.0000007E+001, 1.9999998E+001, 1.9999997E+001, 2.0000006E+001, 2.0000009E+001, 2.0000006E+001, 2.0000005E+001, 2.0000012E+001, 2.0000012E+001, 1.9999998E+001, 1.9999996E+001, 2.0000015E+001, 2.0000022E+001, 2.0000013E+001, 2.0000056E+001
 9.0009462E+000, 2.0000043E+001, 2.0000041E+001, 2.0000037E+001, 2.0000034E+001, 2.0000027E+001, 2.0000022E+001, 2.0000017E+001, 2.0000015E+001, 2.0000015E+001, 2.0000015E+001, 2.0000015E+001, 2.0000016E+001, 2.0000020E+001, 2.0000022E+001, 2.0000022E+001, 2.0000019E+001, 2.0000015E+001, 2.0000011E+001, 2.0000007E+001, 2.0000005E+001, 2.0000004E+001, 2.0000006E+001, 2.0000011E+001, 2.0000013E+001, 2.0000013E+001, 2.0000013E+001, 2.0000010E+001, 2.0000007E+001, 1.9999998E+001, 1.9999998E+001, 2.0000010E+001, 2.0000012E+001, 2.0000001E+001, 2.0000001E+001, 2.0000022E+001, 2.0000027E+001, 2.0000015E+001, 2.0000061E+001
 1.0000605E+001, 2.0000058E+001, 2.0000056E+001, 2.0000052E+001, 2.0000049E+001, 2.0000046E+001, 2.0000043E+001, 2.0000039E+001, 2.0000035E+001, 2.0000028E+001, 2.0000023E+001, 2.0000018E+001, 2.0000016E+001, 2.0000016E+001, 2.0000016E+001, 2.0000017E+001, 2.0000019E+001, 2.0000022E+001, 2.0000023E+001, 2.0000022E+001, 2.0000020E+001, 2.0000015E+001, 2.0000011E+001, 2.0000007E+001, 2.0000006E+001, 2.0000005E+001, 2.0000007E+001, 2.0000014E+001, 2.0000016E+001, 2.0000010E+001, 2.0000008E+001, 2.0000013E+001, 2.0000012E+001, 1.9999996E+001, 1.9999996E+001, 2.0000022E+001, 2.0000030E+001, 2.0000021E+001, 2.0000073E+001
 1.1002429E+001, 2.0000065E+001, 2.0000060E+001, 2.0000061E+001, 2.0000063E+001, 2.0000063E+001, 2.0000060E+001, 2.0000055E+001, 2.0000052E+001, 2.0000048E+001, 2.0000046E+001, 2.0000041E+001, 2.0000037E+001, 2.0000028E+001, 2.0000024E+001, 2.0000019E+001, 2.0000018E+001, 2.0000017E+001, 2.0000017E+001, 2.0000019E+001, 2.0000021E+001, 2.0000022E+001, 2.0000023E+001, 2.0000023E+001, 2.0000022E+001, 2.0000014E+001, 2.0000010E+001, 2.0000010E+001, 2.0000010E+001, 2.0000005E+001, 2.0000007E+001, 2.0000019E+001, 2.0000020E+001, 2.0000005E+001, 2.0000003E+001, 2.0000025E+001, 2.0000031E+001, 2.0000021E+001, 2.0000078E+001
 1.2004254E+001, 2.0000109E+001, 2.0000101E+001, 2.0000087E+001, 2.0000078E+001, 2.0000067E+001, 2.0000064E+001, 2.0000066E+001, 2.0000067E+001, 2.0000066E+001, 2.0000063E+001, 2.0000057E+001, 2.0000054E+001, 2.0000050E+001, 2.0000048E+001, 2.0000043E+001, 2.0000038E+001, 2.0000029E+001, 2.0000024E+001, 2.0000020E+001, 2.0000020E+001, 2.0000018E+001, 2.0000019E+001, 2.0000022E+001, 2.0000024E+001, 2.0000022E+001, 2.0000022E+001, 2.0000025E+001, 2.0000024E+001, 2.0000012E+001, 2.0000008E+001, 2.0000016E+001, 2.0000017E+001, 2.0000003E+001, 2.0000004E+001, 2.0000032E+001, 2.0000041E+001, 2.0000031E+001, 2.0000092E+001
 1.3008257E+001, 2.0000160E+001, 2.0000148E+001, 2.0000136E+001, 2.0000126E+001, 2.0000113E+001, 2.0000105E+001, 2.0000089E+001, 2.0000080E+001, 2.0000069E+001, 2.0000068E+001, 2.0000071E+001, 2.0000072E+001, 2.0000070E+001, 2.0000066E+001, 2.0000060E+001, 2.0000057E+001, 2.0000053E+001, 2.0000049E+001, 2.0000044E+001, 2.0000039E+001, 2.0000029E+001, 2.0000025E+001, 2.0000023E+001, 2.0000023E+001, 2.0000020E+001, 2.0000020E+001, 2.0000026E+001, 2.0000027E+001, 2.0000020E+001, 2.0000020E+001, 2.0000029E+001, 2.0000029E+001, 2.0000009E+001, 2.0000006E+001, 2.0000033E+001, 2.0000041E+001, 2.0000035E+001, 2.0000103E+001
 1.4018927E+001, 2.0000265E+001, 2.0000244E+001, 2.0000209E+001, 2.0000188E+001, 2.0000163E+001, 2.0000153E+001, 2.0000138E+001, 2.0000129E+001, 2.0000117E+001, 2.0000108E+001, 2.0000092E+001, 2.0000082E+001, 2.0000073E+001, 2.0000073E+001, 2.0000076E+001, 2.0000077E+001, 2.0000072E+001, 2.0000068E+001, 2.0000063E+001, 2.0000060E+001, 2.0000054E+001, 2.0000050E+001, 2.0000045E+001, 2.0000040E+001, 2.0000029E+001, 2.0000025E+001, 2.0000027E+001, 2.0000027E+001, 2.0000020E+001, 2.0000020E+001, 2.0000032E+001, 2.0000034E+001, 2.0000017E+001, 2.0000016E+001, 2.0000045E+001, 2.0000053E+001, 2.0000042E+001, 2.0000112E+001
 1.5018121E+001, 2.0000391E+001, 2.0000356E+001, 2.0000316E+001, 2.0000297E+001, 2.0000268E+001, 2.0000245E+001, 2.0000210E+001, 2.0000189E+001, 2.0000167E+001, 2.0000156E+001, 2.0000142E+001, 2.0000133E+001, 2.0000121E+001, 2.0000111E+001, 2.0000094E+001, 2.0000084E+001, 2.0000078E+001, 2.0000078E+001, 2.0000082E+001, 2.0000081E+001, 2.0000074E+001, 2.0000070E+001, 2.0000065E+001, 2.0000062E+001, 2.0000054E+001, 2.0000050E+001, 2.0000048E+001, 2.0000043E+001, 2.0000029E+001, 2.0000026E+001, 2.0000035E+001, 2.0000036E+001, 2.0000019E+001, 2.0000018E+001, 2.0000050E+001, 2.0000060E+001, 2.0000054E+001, 2.0000129E+001
 1.6000890E+001, 2.0000632E+001, 2.0000573E+001, 2.0000494E+001, 2.0000448E+001, 2.0000387E+001, 2.0000355E+001, 2.0000318E+001, 2.0000299E+001, 2.0000269E+001, 2.0000246E+001, 2.0000209E+001, 2.0000190E+001, 2.0000169E+001, 2.0000159E+001, 2.0000145E+001, 2.0000137E+001, 2.0000123E+001, 2.0000112E+001, 2.0000096E+001, 2.0000088E+001, 2.0000083E+001, 2.0000084E+001, 2.0000086E+001, 2.0000084E+001, 2.0000075E+001, 2.0000070E+001, 2.0000070E+001, 2.0000067E+001, 2.0000053E+001, 2.0000048E+001, 2.0000054E+001, 2.0000051E+001, 2.0000028E+001, 2.0000024E+001, 2.0000055E+001, 2.0000066E+001, 2.0000060E+001, 2.0000139E+001
 1.7015112E+001, 2.0001027E+001, 2.0000928E+001, 2.0000797E+001, 2.0000721E+001, 2.0000622E+001, 2.0000565E+001, 2.0000488E+001, 2.0000443E+001, 2.0000385E+001, 2.0000355E+001, 2.0000322E+001, 2.0000301E+001, 2.0000269E+001, 2.0000244E+001, 2.0000210E+001, 2.0000192E+001, 2.0000172E+001, 2.0000162E+001, 2.0000150E+001, 2.0000141E+001, 2.0000125E+001, 2.0000113E+001, 2.0000100E+001, 2.0000094E+001, 2.0000089E+001, 2.0000088E+001, 2.0000091E+001, 2.0000089E+001, 2.0000075E+001, 2.0000071E+001, 2.0000078E+001, 2.0000076E+001, 2.0000051E+001, 2.0000046E+001, 2.0000074E+001, 2.0000081E+001, 2.0000072E+001, 2.0000153E+001
 1.8003363E+001, 2.0001656E+001, 2.0001496E+001, 2.0001286E+001, 2.0001165E+001, 2.0001003E+001, 2.0000908E+001, 2.0000781E+001, 2.0000707E+001, 2.0000612E+001, 2.0000555E+001, 2.0000481E+001, 2.0000437E+001, 2.0000383E+001, 2.0000357E+001, 2.0000324E+001, 2.0000303E+001, 2.0000268E+001, 2.0000243E+001, 2.0000211E+001, 2.0000195E+001, 2.0000175E+001, 2.0000165E+001, 2.0000154E+001, 2.0000146E+001, 2.0000125E+001, 2.0000113E+001, 2.0000106E+001, 2.0000103E+001, 2.0000092E+001, 2.0000090E+001, 2.0000101E+001, 2.0000099E+001, 2.0000074E+001, 2.0000070E+001, 2.0000100E+001, 2.0000108E+001, 2.0000098E+001, 2.0000182E+001
 1.9015700E+001, 2.0002702E+001, 2.0002432E+001, 2.0002077E+001, 2.0001872E+001, 2.0001606E+001, 2.0001453E+001, 2.0001253E+001, 2.0001135E+001, 2.0000980E+001, 2.0000887E+001, 2.0000763E+001, 2.0000692E+001, 2.0000599E+001, 2.0000545E+001, 2.0000473E+001, 2.0000432E+001, 2.0000384E+001, 2.0000358E+001, 2.0000326E+001, 2.0000304E+001, 2.0000266E+001, 2.0000242E+001, 2.0000216E+001, 2.0000199E+001, 2.0000176E+001, 2.0000166E+001, 2.0000159E+001, 2.0000149E+001, 2.0000124E+001, 2.0000115E+001, 2.0000119E+001, 2.0000118E+001, 2.0000094E+001, 2.0000092E+001, 2.0000125E+001, 2.0000134E+001, 2.0000125E+001, 2.0000213E+001
 2.0004664E+001, 2.0004408E+001, 2.0003968E+001, 2.0003389E+001, 2.0003050E+001, 2.0002606E+001, 2.0002347E+001, 2.0002007E+001, 2.0001812E+001, 2.0001558E+001, 2.0001412E+001, 2.0001220E+001, 2.0001107E+001, 2.0000955E+001, 2.0000864E+001, 2.0000745E+001, 2.0000677E+001, 2.0000587E+001, 2.0000535E+001, 2.0000465E+001, 2.0000428E+001, 2.0000384E+001, 2.0000360E+001, 2.0000329E+001, 2.0000306E+001, 2.0000262E+001, 2.0000239E+001, 2.0000216E+001, 2.0000203E+001, 2.0000178E+001, 2.0000168E+001, 2.0000168E+001, 2.0000160E+001, 2.0000125E+001, 2.0000117E+001, 2.0000148E+001, 2.0000157E+001, 2.0000151E+001, 2.0000243E+001
 2.1011347E+001, 2.0007173E+001, 2.0006447E+001, 2.0005501E+001, 2.0004953E+001, 2.0004236E+001, 2.0003816E+001, 2.0003262E+001, 2.0002937E+001, 2.0002513E+001, 2.0002264E+001, 2.0001940E+001, 2.0001754E+001, 2.0001512E+001, 2.0001372E+001, 2.0001187E+001, 2.0001077E+001, 2.0000928E+001, 2.0000840E+001, 2.0000727E+001, 2.0000662E+001, 2.0000575E+001, 2.0000523E+001, 2.0000459E+001, 2.0000428E+001, 2.0000384E+001, 2.0000359E+001, 2.0000331E+001, 2.0000303E+001, 2.0000253E+001, 2.0000233E+001, 2.0000227E+001, 2.0000217E+001, 2.0000179E+001, 2.0000168E+001, 2.0000194E+001, 2.0000199E+001, 2.0000184E+001, 2.0000277E+001
