s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"5.8_122.5","5.8_123.5","5.8_124.5","5.8_125.5","5.8_126.5","5.8_127.5","5.8_128.5","5.8_129.5","5.8_130.5","5.8_131.5","5.8_132.5","5.8_133.5","5.8_134.5","5.8_135.5","5.8_136.5","5.8_137.5","5.8_138.5","5.8_139.5","5.8_140.5","5.8_141.5","5.8_142.5","5.8_143.5","5.8_144.5","5.8_145.5","5.8_146.5","5.8_147.5","5.8_148.5","5.8_149.5","5.8_150.5","5.8_151.5","5.8_152.5","5.8_153.5","5.8_154.5","5.8_155.5","5.8_156.5","5.8_157.5","5.8_158.5","5.8_159.5"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0250264E+000, 1.9999997E+001, 2.0000002E+001, 2.0000004E+001, 2.0000003E+001, 1.9999999E+001, 2.0000003E+001, 2.0000004E+001, 1.9999997E+001, 2.0000002E+001, 1.9999998E+001, 2.0000000E+001, 1.9999998E+001, 2.0000003E+001, 1.9999998E+001, 2.0000002E+001, 2.0000002E+001, 2.0000002E+001, 1.9999996E+001, 2.0000002E+001, 1.9999998E+001, 1.9999998E+001, 2.0000001E+001, 1.9999999E+001, 1.9999997E+001, 2.0000003E+001, 2.0000000E+001, 2.0000002E+001, 1.9999998E+001, 2.0000000E+001, 2.0000000E+001, 2.0000002E+001, 1.9999995E+001, 1.9999999E+001, 2.0000001E+001, 2.0000004E+001, 1.9999998E+001, 1.9999999E+001, 1.9999998E+001
 2.0012412E+000, 2.0000005E+001, 2.0000001E+001, 2.0000003E+001, 2.0000005E+001, 2.0000007E+001, 2.0000007E+001, 2.0000005E+001, 2.0000004E+001, 2.0000003E+001, 2.0000003E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000002E+001, 2.0000004E+001, 2.0000005E+001, 2.0000005E+001, 2.0000003E+001, 2.0000001E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 1.9999999E+001, 1.9999999E+001, 2.0000002E+001, 2.0000003E+001, 2.0000002E+001, 1.9999999E+001, 2.0000000E+001, 2.0000002E+001, 2.0000003E+001, 2.0000002E+001, 2.0000001E+001, 2.0000001E+001, 2.0000002E+001, 2.0000003E+001
 3.0034116E+000, 2.0000063E+001, 2.0000061E+001, 2.0000054E+001, 2.0000049E+001, 2.0000040E+001, 2.0000035E+001, 2.0000033E+001, 2.0000034E+001, 2.0000032E+001, 2.0000030E+001, 2.0000027E+001, 2.0000023E+001, 2.0000020E+001, 2.0000018E+001, 2.0000014E+001, 2.0000011E+001, 2.0000012E+001, 2.0000014E+001, 2.0000015E+001, 2.0000015E+001, 2.0000013E+001, 2.0000010E+001, 2.0000006E+001, 2.0000005E+001, 2.0000004E+001, 2.0000004E+001, 2.0000004E+001, 2.0000002E+001, 2.0000002E+001, 2.0000004E+001, 2.0000006E+001, 2.0000006E+001, 2.0000002E+001, 2.0000001E+001, 2.0000007E+001, 2.0000009E+001, 2.0000005E+001, 2.0000013E+001
 4.0039099E+000, 2.0000510E+001, 2.0000473E+001, 2.0000424E+001, 2.0000395E+001, 2.0000359E+001, 2.0000335E+001, 2.0000300E+001, 2.0000277E+001, 2.0000242E+001, 2.0000223E+001, 2.0000201E+001, 2.0000191E+001, 2.0000173E+001, 2.0000161E+001, 2.0000142E+001, 2.0000131E+001, 2.0000116E+001, 2.0000106E+001, 2.0000091E+001, 2.0000084E+001, 2.0000077E+001, 2.0000074E+001, 2.0000070E+001, 2.0000066E+001, 2.0000057E+001, 2.0000050E+001, 2.0000042E+001, 2.0000037E+001, 2.0000032E+001, 2.0000031E+001, 2.0000028E+001, 2.0000026E+001, 2.0000020E+001, 2.0000020E+001, 2.0000027E+001, 2.0000028E+001, 2.0000017E+001, 2.0000033E+001
 5.0066547E+000, 2.0001216E+001, 2.0001130E+001, 2.0001013E+001, 2.0000943E+001, 2.0000846E+001, 2.0000788E+001, 2.0000707E+001, 2.0000660E+001, 2.0000597E+001, 2.0000557E+001, 2.0000499E+001, 2.0000461E+001, 2.0000407E+001, 2.0000376E+001, 2.0000340E+001, 2.0000319E+001, 2.0000288E+001, 2.0000267E+001, 2.0000238E+001, 2.0000220E+001, 2.0000195E+001, 2.0000179E+001, 2.0000156E+001, 2.0000144E+001, 2.0000132E+001, 2.0000126E+001, 2.0000117E+001, 2.0000110E+001, 2.0000091E+001, 2.0000081E+001, 2.0000072E+001, 2.0000066E+001, 2.0000054E+001, 2.0000050E+001, 2.0000055E+001, 2.0000055E+001, 2.0000043E+001, 2.0000064E+001
 6.0006937E+000, 2.0002373E+001, 2.0002221E+001, 2.0002008E+001, 2.0001874E+001, 2.0001686E+001, 2.0001571E+001, 2.0001413E+001, 2.0001317E+001, 2.0001185E+001, 2.0001106E+001, 2.0000996E+001, 2.0000930E+001, 2.0000841E+001, 2.0000786E+001, 2.0000705E+001, 2.0000653E+001, 2.0000580E+001, 2.0000538E+001, 2.0000486E+001, 2.0000455E+001, 2.0000411E+001, 2.0000382E+001, 2.0000341E+001, 2.0000317E+001, 2.0000281E+001, 2.0000259E+001, 2.0000229E+001, 2.0000213E+001, 2.0000190E+001, 2.0000181E+001, 2.0000170E+001, 2.0000157E+001, 2.0000128E+001, 2.0000115E+001, 2.0000115E+001, 2.0000111E+001, 2.0000091E+001, 2.0000114E+001
 7.0061805E+000, 2.0003799E+001, 2.0003558E+001, 2.0003223E+001, 2.0003018E+001, 2.0002735E+001, 2.0002562E+001, 2.0002320E+001, 2.0002168E+001, 2.0001956E+001, 2.0001824E+001, 2.0001644E+001, 2.0001534E+001, 2.0001384E+001, 2.0001293E+001, 2.0001168E+001, 2.0001092E+001, 2.0000988E+001, 2.0000923E+001, 2.0000830E+001, 2.0000770E+001, 2.0000686E+001, 2.0000637E+001, 2.0000577E+001, 2.0000541E+001, 2.0000488E+001, 2.0000454E+001, 2.0000409E+001, 2.0000381E+001, 2.0000335E+001, 2.0000305E+001, 2.0000274E+001, 2.0000255E+001, 2.0000225E+001, 2.0000212E+001, 2.0000209E+001, 2.0000199E+001, 2.0000167E+001, 2.0000188E+001
 8.0015801E+000, 2.0005843E+001, 2.0005482E+001, 2.0004981E+001, 2.0004673E+001, 2.0004246E+001, 2.0003984E+001, 2.0003619E+001, 2.0003395E+001, 2.0003085E+001, 2.0002894E+001, 2.0002626E+001, 2.0002459E+001, 2.0002225E+001, 2.0002080E+001, 2.0001879E+001, 2.0001756E+001, 2.0001589E+001, 2.0001487E+001, 2.0001348E+001, 2.0001262E+001, 2.0001143E+001, 2.0001069E+001, 2.0000964E+001, 2.0000896E+001, 2.0000800E+001, 2.0000746E+001, 2.0000679E+001, 2.0000638E+001, 2.0000572E+001, 2.0000531E+001, 2.0000482E+001, 2.0000449E+001, 2.0000387E+001, 2.0000353E+001, 2.0000333E+001, 2.0000320E+001, 2.0000285E+001, 2.0000310E+001
 9.0094517E+000, 2.0008791E+001, 2.0008274E+001, 2.0007552E+001, 2.0007104E+001, 2.0006478E+001, 2.0006090E+001, 2.0005549E+001, 2.0005215E+001, 2.0004751E+001, 2.0004466E+001, 2.0004068E+001, 2.0003823E+001, 2.0003483E+001, 2.0003272E+001, 2.0002978E+001, 2.0002794E+001, 2.0002535E+001, 2.0002374E+001, 2.0002151E+001, 2.0002014E+001, 2.0001828E+001, 2.0001714E+001, 2.0001558E+001, 2.0001462E+001, 2.0001326E+001, 2.0001242E+001, 2.0001124E+001, 2.0001047E+001, 2.0000936E+001, 2.0000874E+001, 2.0000801E+001, 2.0000750E+001, 2.0000661E+001, 2.0000610E+001, 2.0000573E+001, 2.0000542E+001, 2.0000477E+001, 2.0000493E+001
 1.0001651E+001, 2.0012741E+001, 2.0012016E+001, 2.0011002E+001, 2.0010372E+001, 2.0009491E+001, 2.0008945E+001, 2.0008183E+001, 2.0007709E+001, 2.0007045E+001, 2.0006632E+001, 2.0006056E+001, 2.0005700E+001, 2.0005206E+001, 2.0004900E+001, 2.0004475E+001, 2.0004212E+001, 2.0003845E+001, 2.0003618E+001, 2.0003299E+001, 2.0003100E+001, 2.0002820E+001, 2.0002645E+001, 2.0002402E+001, 2.0002254E+001, 2.0002050E+001, 2.0001926E+001, 2.0001758E+001, 2.0001652E+001, 2.0001498E+001, 2.0001404E+001, 2.0001280E+001, 2.0001193E+001, 2.0001050E+001, 2.0000978E+001, 2.0000914E+001, 2.0000865E+001, 2.0000776E+001, 2.0000784E+001
 1.1010237E+001, 2.0018055E+001, 2.0017038E+001, 2.0015625E+001, 2.0014752E+001, 2.0013535E+001, 2.0012779E+001, 2.0011721E+001, 2.0011062E+001, 2.0010142E+001, 2.0009570E+001, 2.0008771E+001, 2.0008273E+001, 2.0007576E+001, 2.0007142E+001, 2.0006535E+001, 2.0006160E+001, 2.0005638E+001, 2.0005314E+001, 2.0004864E+001, 2.0004584E+001, 2.0004193E+001, 2.0003950E+001, 2.0003611E+001, 2.0003399E+001, 2.0003097E+001, 2.0002909E+001, 2.0002652E+001, 2.0002494E+001, 2.0002270E+001, 2.0002137E+001, 2.0001961E+001, 2.0001846E+001, 2.0001665E+001, 2.0001557E+001, 2.0001426E+001, 2.0001335E+001, 2.0001188E+001, 2.0001185E+001
 1.2004227E+001, 2.0025460E+001, 2.0024027E+001, 2.0022034E+001, 2.0020802E+001, 2.0019085E+001, 2.0018024E+001, 2.0016551E+001, 2.0015642E+001, 2.0014372E+001, 2.0013583E+001, 2.0012477E+001, 2.0011789E+001, 2.0010827E+001, 2.0010229E+001, 2.0009392E+001, 2.0008871E+001, 2.0008139E+001, 2.0007683E+001, 2.0007046E+001, 2.0006651E+001, 2.0006100E+001, 2.0005758E+001, 2.0005282E+001, 2.0004986E+001, 2.0004569E+001, 2.0004311E+001, 2.0003954E+001, 2.0003728E+001, 2.0003400E+001, 2.0003199E+001, 2.0002932E+001, 2.0002765E+001, 2.0002515E+001, 2.0002368E+001, 2.0002182E+001, 2.0002054E+001, 2.0001854E+001, 2.0001815E+001
 1.3004601E+001, 2.0036248E+001, 2.0034153E+001, 2.0031256E+001, 2.0029475E+001, 2.0027010E+001, 2.0025492E+001, 2.0023383E+001, 2.0022079E+001, 2.0020267E+001, 2.0019150E+001, 2.0017601E+001, 2.0016644E+001, 2.0015310E+001, 2.0014480E+001, 2.0013318E+001, 2.0012595E+001, 2.0011585E+001, 2.0010958E+001, 2.0010079E+001, 2.0009531E+001, 2.0008761E+001, 2.0008281E+001, 2.0007612E+001, 2.0007196E+001, 2.0006614E+001, 2.0006254E+001, 2.0005754E+001, 2.0005441E+001, 2.0004994E+001, 2.0004720E+001, 2.0004349E+001, 2.0004109E+001, 2.0003747E+001, 2.0003533E+001, 2.0003267E+001, 2.0003080E+001, 2.0002792E+001, 2.0002708E+001
 1.4000667E+001, 2.0052907E+001, 2.0049727E+001, 2.0045342E+001, 2.0042653E+001, 2.0038942E+001, 2.0036668E+001, 2.0033527E+001, 2.0031600E+001, 2.0028937E+001, 2.0027300E+001, 2.0025029E+001, 2.0023629E+001, 2.0021686E+001, 2.0020492E+001, 2.0018839E+001, 2.0017819E+001, 2.0016398E+001, 2.0015515E+001, 2.0014282E+001, 2.0013516E+001, 2.0012446E+001, 2.0011782E+001, 2.0010854E+001, 2.0010275E+001, 2.0009460E+001, 2.0008953E+001, 2.0008250E+001, 2.0007813E+001, 2.0007195E+001, 2.0006813E+001, 2.0006294E+001, 2.0005963E+001, 2.0005479E+001, 2.0005189E+001, 2.0004820E+001, 2.0004571E+001, 2.0004144E+001, 2.0003982E+001
 1.5007636E+001, 2.0079502E+001, 2.0074482E+001, 2.0067603E+001, 2.0063412E+001, 2.0057655E+001, 2.0054136E+001, 2.0049287E+001, 2.0046318E+001, 2.0042228E+001, 2.0039723E+001, 2.0036271E+001, 2.0034157E+001, 2.0031241E+001, 2.0029451E+001, 2.0026973E+001, 2.0025448E+001, 2.0023340E+001, 2.0022047E+001, 2.0020262E+001, 2.0019162E+001, 2.0017631E+001, 2.0016683E+001, 2.0015363E+001, 2.0014545E+001, 2.0013403E+001, 2.0012695E+001, 2.0011711E+001, 2.0011097E+001, 2.0010229E+001, 2.0009693E+001, 2.0008960E+001, 2.0008501E+001, 2.0007835E+001, 2.0007433E+001, 2.0006910E+001, 2.0006572E+001, 2.0006032E+001, 2.0005774E+001
 1.6003459E+001, 2.0123120E+001, 2.0114879E+001, 2.0103659E+001, 2.0096865E+001, 2.0087588E+001, 2.0081958E+001, 2.0074258E+001, 2.0069574E+001, 2.0063149E+001, 2.0059228E+001, 2.0053830E+001, 2.0050531E+001, 2.0045994E+001, 2.0043220E+001, 2.0039402E+001, 2.0037068E+001, 2.0033853E+001, 2.0031883E+001, 2.0029160E+001, 2.0027489E+001, 2.0025184E+001, 2.0023776E+001, 2.0021835E+001, 2.0020642E+001, 2.0018980E+001, 2.0017955E+001, 2.0016536E+001, 2.0015658E+001, 2.0014430E+001, 2.0013675E+001, 2.0012636E+001, 2.0011983E+001, 2.0011048E+001, 2.0010481E+001, 2.0009737E+001, 2.0009262E+001, 2.0008565E+001, 2.0008151E+001
 1.7000366E+001, 2.0199075E+001, 2.0184532E+001, 2.0164993E+001, 2.0153307E+001, 2.0137537E+001, 2.0128065E+001, 2.0115227E+001, 2.0107484E+001, 2.0096950E+001, 2.0090579E+001, 2.0081891E+001, 2.0076619E+001, 2.0069404E+001, 2.0065006E+001, 2.0058970E+001, 2.0055288E+001, 2.0050234E+001, 2.0047150E+001, 2.0042914E+001, 2.0040327E+001, 2.0036770E+001, 2.0034592E+001, 2.0031590E+001, 2.0029752E+001, 2.0027223E+001, 2.0025681E+001, 2.0023564E+001, 2.0022261E+001, 2.0020448E+001, 2.0019336E+001, 2.0017814E+001, 2.0016873E+001, 2.0015539E+001, 2.0014731E+001, 2.0013654E+001, 2.0012974E+001, 2.0012001E+001, 2.0011497E+001
 1.8000459E+001, 2.0347158E+001, 2.0318522E+001, 2.0280598E+001, 2.0258295E+001, 2.0228692E+001, 2.0211205E+001, 2.0187871E+001, 2.0174014E+001, 2.0155435E+001, 2.0144345E+001, 2.0129398E+001, 2.0120429E+001, 2.0108287E+001, 2.0100977E+001, 2.0091045E+001, 2.0085041E+001, 2.0076844E+001, 2.0071865E+001, 2.0065050E+001, 2.0060906E+001, 2.0055229E+001, 2.0051773E+001, 2.0047039E+001, 2.0044154E+001, 2.0040187E+001, 2.0037763E+001, 2.0034433E+001, 2.0032398E+001, 2.0029600E+001, 2.0027899E+001, 2.0025577E+001, 2.0024149E+001, 2.0022148E+001, 2.0020936E+001, 2.0019319E+001, 2.0018317E+001, 2.0016909E+001, 2.0016176E+001
 1.9007039E+001, 2.0637859E+001, 2.0587718E+001, 2.0517442E+001, 2.0474244E+001, 2.0415341E+001, 2.0380090E+001, 2.0333006E+001, 2.0305246E+001, 2.0268484E+001, 2.0246865E+001, 2.0218197E+001, 2.0201292E+001, 2.0178794E+001, 2.0165465E+001, 2.0147625E+001, 2.0136990E+001, 2.0122685E+001, 2.0114119E+001, 2.0102543E+001, 2.0095575E+001, 2.0086099E+001, 2.0080367E+001, 2.0072557E+001, 2.0067824E+001, 2.0061357E+001, 2.0057435E+001, 2.0052083E+001, 2.0048827E+001, 2.0044349E+001, 2.0041623E+001, 2.0037896E+001, 2.0035624E+001, 2.0032495E+001, 2.0030606E+001, 2.0028072E+001, 2.0026510E+001, 2.0024350E+001, 2.0023196E+001
 2.0004561E+001, 2.1008213E+001, 2.0953074E+001, 2.0871549E+001, 2.0817897E+001, 2.0738786E+001, 2.0687377E+001, 2.0612999E+001, 2.0565587E+001, 2.0498490E+001, 2.0456946E+001, 2.0400068E+001, 2.0365916E+001, 2.0320178E+001, 2.0293168E+001, 2.0257398E+001, 2.0236390E+001, 2.0208588E+001, 2.0192232E+001, 2.0170495E+001, 2.0157640E+001, 2.0140468E+001, 2.0130258E+001, 2.0116547E+001, 2.0108339E+001, 2.0097230E+001, 2.0090550E+001, 2.0081501E+001, 2.0076040E+001, 2.0068600E+001, 2.0064112E+001, 2.0058022E+001, 2.0054321E+001, 2.0049232E+001, 2.0046155E+001, 2.0042025E+001, 2.0039516E+001, 2.0036095E+001, 2.0034258E+001
 2.1005520E+001, 2.1353291E+001, 2.1300165E+001, 2.1223273E+001, 2.1169785E+001, 2.1087377E+001, 2.1034087E+001, 2.0955206E+001, 2.0903370E+001, 2.0826385E+001, 2.0776803E+001, 2.0703891E+001, 2.0655919E+001, 2.0585986E+001, 2.0541353E+001, 2.0477887E+001, 2.0438283E+001, 2.0383701E+001, 2.0350784E+001, 2.0306658E+001, 2.0280578E+001, 2.0246048E+001, 2.0225768E+001, 2.0198948E+001, 2.0183181E+001, 2.0162255E+001, 2.0149905E+001, 2.0133448E+001, 2.0123656E+001, 2.0110482E+001, 2.0102618E+001, 2.0092050E+001, 2.0085700E+001, 2.0077073E+001, 2.0071914E+001, 2.0065016E+001, 2.0060852E+001, 2.0055195E+001, 2.0052188E+001
